epoch,G,D,cycle,id
0,0.87,0.35,0.45,0.12
1,681.47,46.65,517.12,72.15
2,0.87,4.93,0.43,0.11
3,2.97,46.62,0.44,0.11
4,1.02,2.27,0.46,0.12
5,0.96,5.29,0.45,0.11
6,0.84,0.36,0.42,0.11
7,0.97,2.41,0.41,0.11
8,0.87,0.3,0.43,0.11
9,0.86,0.33,0.43,0.11
10,0.83,1.07,0.42,0.11
11,0.86,0.37,0.41,0.11
12,1.07,1.1,0.35,0.09
13,0.83,0.27,0.43,0.11
14,0.74,0.64,0.38,0.11
15,27.15,6.12,10.83,2.23
16,1.56,31.32,0.44,0.11
17,4.96,43.01,0.41,0.11
18,6.42,119.34,0.45,0.12
19,427.49,44.38,113.62,16.34
20,14.23,359.28,0.45,0.12
21,1.68,47.86,0.44,0.11
22,4.64,27.85,0.41,0.11
23,0.9,3.93,0.43,0.11
24,0.87,26.76,0.44,0.11
25,0.89,1.01,0.43,0.11
26,0.88,35.03,0.43,0.11
27,1.18,29.13,0.44,0.11
28,2.6,24.58,0.42,0.11
29,0.96,17.17,0.43,0.11
30,0.84,5.96,0.43,0.11
31,0.88,3.66,0.44,0.11
32,0.84,1.83,0.44,0.11
33,0.9,21.07,0.43,0.11
34,0.96,4.69,0.44,0.11
35,0.86,1.29,0.43,0.11
36,0.86,0.88,0.43,0.11
37,0.88,1.69,0.43,0.11
38,0.88,0.57,0.43,0.11
39,0.88,0.24,0.43,0.11
40,0.88,0.24,0.43,0.11
41,0.87,0.23,0.42,0.11
42,0.81,0.26,0.4,0.1
43,1.1,0.44,0.29,0.06
44,0.96,0.8,0.46,0.12
45,0.9,0.22,0.43,0.11
46,0.89,0.45,0.43,0.11
47,0.89,2.67,0.43,0.11
48,0.86,1.28,0.42,0.11
49,3.41,4.13,0.39,0.09
50,1.08,10.25,0.44,0.11
51,0.97,30.89,0.43,0.11
52,0.98,3.89,0.45,0.12
53,1.52,36.78,0.44,0.11
54,1.2,24.03,0.43,0.11
55,2.05,16.56,0.45,0.12
56,0.91,2.25,0.44,0.11
57,5.93,486.14,0.44,0.11
58,12.56,47.44,0.39,0.1
59,15.52,257.33,0.42,0.11
60,28.09,43.88,0.6,0.15
61,2.11,215.36,0.43,0.11
62,2.77,30.87,0.45,0.12
63,0.92,5.11,0.44,0.11
64,1.07,8.2,0.44,0.11
65,0.91,0.49,0.44,0.11
66,0.91,0.95,0.44,0.11
67,0.92,3.97,0.44,0.11
68,0.9,0.25,0.44,0.11
69,0.9,0.25,0.44,0.11
70,0.87,0.25,0.42,0.11
71,0.65,0.21,0.35,0.07
72,233.16,1.95,189.01,26.62
73,1.36,10.21,0.45,0.12
74,2.34,28.98,0.44,0.11
75,0.9,0.54,0.43,0.11
76,0.89,1.77,0.43,0.11
77,0.91,0.72,0.43,0.11
78,0.92,1.45,0.43,0.11
79,0.95,2.73,0.43,0.11
80,0.9,0.41,0.43,0.11
81,0.9,0.4,0.43,0.11
82,0.89,0.25,0.43,0.11
83,0.89,0.26,0.43,0.11
84,0.89,0.24,0.42,0.11
85,0.87,0.21,0.42,0.11
86,0.89,0.18,0.39,0.1
87,0.88,0.19,0.43,0.11
88,0.83,0.18,0.42,0.11
89,0.71,0.28,0.28,0.09
90,0.92,0.2,0.42,0.11
91,1.23,0.25,0.48,0.12
92,0.9,0.22,0.44,0.11
93,0.9,0.23,0.44,0.11
94,0.9,0.21,0.43,0.11
95,0.9,0.24,0.43,0.11
96,0.9,0.22,0.43,0.11
97,0.89,0.2,0.43,0.11
98,0.89,0.22,0.43,0.11
99,0.89,0.22,0.43,0.11
100,0.89,0.21,0.43,0.11
101,0.89,0.2,0.43,0.11
102,0.89,0.19,0.43,0.11
103,0.89,0.22,0.43,0.11
104,0.9,0.21,0.44,0.11
105,0.88,0.21,0.42,0.11
106,0.88,0.2,0.43,0.11
107,0.88,0.22,0.42,0.11
108,0.9,0.23,0.44,0.11
109,0.9,0.21,0.43,0.11
110,0.9,0.22,0.43,0.11
111,0.89,0.21,0.43,0.11
112,0.88,0.21,0.42,0.11
113,0.88,0.21,0.41,0.1
114,0.86,0.2,0.42,0.11
115,0.99,0.27,0.37,0.09
116,0.91,0.31,0.43,0.11
117,0.89,1.33,0.42,0.11
118,0.88,0.35,0.42,0.11
119,1.89,9.72,0.42,0.11
120,0.84,0.69,0.45,0.12
121,10.45,89.46,0.46,0.12
122,2.04,48.9,0.43,0.11
123,1130.87,1363.53,0.73,0.17
124,242.67,3240.64,0.42,0.11
125,57.24,1056.91,0.45,0.12
126,69.0,33.58,9.9,1.73
127,2385.58,1030.4,1.28,0.2
128,1.86,45.72,0.44,0.11
129,1.92,27.99,0.43,0.11
130,0.95,13.52,0.44,0.11
131,1.4,28.32,0.44,0.11
132,0.9,3.98,0.43,0.11
133,1.11,38.45,0.43,0.11
134,1.01,5.77,0.44,0.11
135,1.4,9.2,0.44,0.11
136,0.97,7.14,0.43,0.11
137,0.95,1.67,0.43,0.11
138,0.88,0.23,0.43,0.11
139,1.03,0.93,0.43,0.11
140,1.04,0.98,0.44,0.11
141,0.9,0.86,0.43,0.11
142,0.92,13.19,0.43,0.11
143,0.96,4.98,0.43,0.11
144,0.93,3.31,0.43,0.11
145,0.9,0.34,0.43,0.11
146,0.9,2.24,0.43,0.11
147,0.9,0.54,0.43,0.11
148,0.91,4.56,0.43,0.11
149,0.91,1.06,0.43,0.11
150,0.9,0.2,0.43,0.11
151,0.9,0.22,0.43,0.11
152,0.9,5.79,0.43,0.11
153,0.92,4.35,0.43,0.11
154,0.91,37.86,0.44,0.11
155,3.03,25.35,0.45,0.11
156,2.03,117.31,0.43,0.11
157,5.16,133.04,0.44,0.11
158,0.9,41.15,0.44,0.11
159,1.04,23.1,0.44,0.11
160,2.08,17.09,0.43,0.11
161,0.92,1.7,0.44,0.11
162,0.91,0.26,0.44,0.11
163,0.91,0.25,0.44,0.11
164,0.91,0.24,0.44,0.11
165,0.91,0.24,0.44,0.11
166,0.91,0.3,0.44,0.11
167,0.9,0.26,0.44,0.11
168,0.9,0.24,0.44,0.11
169,0.9,0.25,0.44,0.11
170,0.9,0.24,0.44,0.11
171,0.9,0.25,0.44,0.11
172,0.9,0.26,0.44,0.11
173,0.9,0.25,0.44,0.11
174,0.9,0.25,0.44,0.11
175,0.9,0.24,0.44,0.11
176,0.9,0.26,0.44,0.11
177,0.9,0.25,0.44,0.11
178,0.89,0.24,0.43,0.11
179,0.89,0.25,0.43,0.11
180,0.86,0.24,0.43,0.11
181,0.92,0.28,0.42,0.11
182,0.93,0.22,0.44,0.11
183,0.94,0.28,0.44,0.11
184,0.88,0.23,0.43,0.11
185,0.87,0.23,0.43,0.11
186,0.79,0.23,0.41,0.11
187,0.77,0.25,0.4,0.09
188,2.04,0.7,0.31,0.07
189,0.9,0.45,0.44,0.11
190,0.92,4.15,0.44,0.11
191,0.91,0.39,0.44,0.11
192,0.91,6.82,0.44,0.11
193,0.91,4.25,0.44,0.11
194,1.9,24.88,0.44,0.11
195,9.59,40.01,0.39,0.1
196,1.34,217.31,0.43,0.11
197,63.15,230.1,0.5,0.13
198,127.49,3310.87,0.44,0.11
199,2.48,83.22,0.43,0.11
200,0.9,30.06,0.43,0.11
201,0.9,34.41,0.43,0.11
202,0.9,0.25,0.43,0.11
203,0.9,0.26,0.43,0.11
204,0.9,0.25,0.43,0.11
205,0.9,0.25,0.43,0.11
206,0.9,0.25,0.43,0.11
207,0.9,0.24,0.43,0.11
208,0.9,0.26,0.43,0.11
209,0.89,0.25,0.43,0.11
210,0.88,0.25,0.43,0.11
211,0.89,0.24,0.43,0.11
212,0.88,0.39,0.43,0.11
213,0.91,0.24,0.44,0.11
