epoch,G,D,cycle,id
0,2.21,1.04,0.08,1.14
1,4151.63,863.2,304.63,2129.76
2,7.31,56.95,0.08,1.12
3,2.34,15.3,0.08,1.19
4,7.24,38.62,0.09,1.24
5,2.22,4.59,0.08,1.13
6,2.93,18.13,0.08,1.13
7,2.36,427.96,0.08,1.15
8,10.51,249.04,0.08,1.15
9,14.89,31.1,0.1,1.45
10,8.17,96.54,0.09,1.2
11,2.75,17.96,0.08,1.15
12,2.28,23.81,0.08,1.16
13,2.28,19.05,0.08,1.17
14,2.31,0.64,0.08,1.16
15,2.31,0.6,0.08,1.16
16,2.32,24.0,0.08,1.16
17,11.92,1159.81,0.08,1.16
18,3017.85,1631.59,0.23,2.31
19,13.19,181.86,0.08,1.13
20,7.32,207.74,0.08,1.18
21,1477.95,244.41,2.0,17.44
22,4.38,306.24,0.08,1.17
23,4.14,101.82,0.08,1.19
24,2.79,951.78,0.08,1.17
25,33.22,478.58,0.08,1.08
26,17.25,760.4,0.08,1.13
27,2.3,6.03,0.08,1.17
28,2.34,13.55,0.08,1.17
29,2.28,10.67,0.08,1.16
30,2.24,2.18,0.08,1.16
31,2.26,12.33,0.08,1.15
32,2.25,2.3,0.08,1.16
33,2.29,13.0,0.08,1.16
34,2.26,7.2,0.08,1.16
35,2.28,388.1,0.08,1.15
36,3.89,180.71,0.08,1.16
37,4.66,183.04,0.09,1.2
38,2.79,43.07,0.08,1.17
39,2.23,2.18,0.08,1.14
40,3.46,31.56,0.08,1.13
41,2.27,9.42,0.08,1.16
42,2.27,0.65,0.08,1.15
43,2.25,0.66,0.08,1.14
44,2.07,6.06,0.11,0.94
45,6.76,25.5,0.88,5.43
46,2.74,22.3,0.08,1.14
47,14.07,7.91,0.07,0.96
48,2.37,1.66,0.08,1.17
49,2.29,1.11,0.08,1.16
50,2.28,0.53,0.08,1.15
51,2.27,0.54,0.08,1.14
52,2.26,1.19,0.08,1.14
53,2.24,0.59,0.08,1.12
54,2.21,0.58,0.08,1.09
55,2.11,0.55,0.08,1.07
56,4.6,1.41,0.04,0.51
57,2.28,0.82,0.08,1.12
58,2.24,1.04,0.08,1.11
59,2.27,0.97,0.08,1.1
