epoch,G,D,cycle,id
0,2.35,1.93,0.39,0.1
1,2854.77,813.15,1087.37,150.79
2,14.67,74.96,0.4,0.1
3,3.49,41.84,0.42,0.11
4,4.12,23.03,0.46,0.12
5,7.19,63.51,0.42,0.11
6,2.39,6.08,0.44,0.11
7,3.98,53.12,0.44,0.11
8,2.98,15.63,0.41,0.11
9,2.86,348.63,0.42,0.11
10,19.55,19313.87,0.42,0.11
11,3546.34,917.2,1.97,0.55
12,113.6,1226.77,0.42,0.11
13,20.57,45.17,0.44,0.11
14,4.82,552.29,0.44,0.11
15,7.62,117.17,0.44,0.11
16,5.86,53.56,0.43,0.11
17,2.62,121.21,0.43,0.11
18,2.51,7.1,0.44,0.11
19,6.23,157.61,0.44,0.11
20,40.36,23.14,0.34,0.08
21,10.29,136.64,0.43,0.11
22,2.83,15.35,0.43,0.11
23,3.28,48.57,0.44,0.11
24,3.49,25.6,0.43,0.11
25,5.05,47.57,0.43,0.11
26,2.78,12.87,0.43,0.11
27,2.49,38.04,0.43,0.11
28,4.59,9.72,0.43,0.11
29,8.0,93.42,0.43,0.11
30,3.38,28.58,0.43,0.11
31,2.47,48.67,0.43,0.11
32,15.88,331.82,0.43,0.11
33,5.46,112.81,0.44,0.11
34,4.64,29792.24,0.43,0.11
35,539.23,12127.74,0.43,0.11
36,295.03,991.94,0.49,0.13
37,24.41,3239.91,0.44,0.11
38,203.15,1035.52,0.47,0.12
39,75.87,1097.84,0.45,0.12
40,5.95,973.7,0.44,0.11
41,2389.16,924.48,0.7,0.27
42,33.66,4470.28,0.44,0.11
43,14.83,196.68,0.42,0.11
44,2.61,11.18,0.42,0.11
45,11.57,201.16,0.42,0.11
46,2.5,21.77,0.43,0.11
47,6.69,160.81,0.43,0.11
48,2.51,57.46,0.43,0.11
49,2.89,147.07,0.43,0.11
50,11.76,205.91,0.44,0.11
51,2.64,65.03,0.43,0.11
52,2.74,20.08,0.43,0.11
53,2.47,73.37,0.43,0.11
54,2.56,3.39,0.43,0.11
55,2.47,31.12,0.43,0.11
56,2.66,42.33,0.43,0.11
57,2.47,42.12,0.43,0.11
58,2.51,20.37,0.43,0.11
59,2.47,45.94,0.43,0.11
60,2.51,6.47,0.43,0.11
61,2.44,43.39,0.43,0.11
62,2.48,2.63,0.43,0.11
63,2.46,12.52,0.43,0.11
64,2.46,13.45,0.43,0.11
65,2.35,27.4,0.43,0.11
66,2.49,4.02,0.43,0.11
67,2.46,8.29,0.43,0.11
68,2.5,1.02,0.43,0.11
69,2.47,1.9,0.43,0.11
70,2.67,12.58,0.43,0.11
71,2.51,19.08,0.43,0.11
72,2.44,13.34,0.43,0.11
73,2.79,1.63,0.43,0.11
74,4.39,45.96,0.43,0.11
75,2.57,45.04,0.43,0.11
76,4.58,14.15,0.43,0.11
77,19.25,1092.82,0.43,0.11
78,80.96,449.75,0.47,0.12
79,3.74,91.4,0.44,0.11
80,6.38,279.38,0.43,0.11
81,2.47,4.18,0.44,0.11
82,2.57,93.26,0.43,0.11
83,2.42,9.0,0.43,0.11
84,2.38,2.8,0.44,0.11
85,2.44,0.98,0.43,0.11
86,2.39,0.98,0.43,0.11
87,2.16,0.95,0.43,0.11
88,1.86,0.98,0.42,0.1
89,2.4,0.98,0.42,0.11
90,2.46,0.97,0.43,0.11
91,2.33,1.04,0.42,0.11
92,2.17,0.94,0.39,0.1
93,1.12,0.73,0.39,0.1
94,5.59,0.55,3.44,0.72
95,33.79,16.51,0.68,0.76
96,2.56,32.93,0.44,0.11
97,3.06,8.59,0.43,0.11
98,25.44,279.64,0.41,0.1
99,12.12,355.91,0.44,0.11
100,2.46,41.59,0.43,0.11
101,18.32,768.53,0.42,0.11
102,3.04,57.69,0.44,0.11
103,4.59,583.53,0.43,0.11
104,54.68,491.9,0.45,0.12
105,2.83,21.24,0.44,0.11
106,2.74,172.1,0.44,0.11
107,2.47,1.0,0.44,0.11
108,2.46,1.0,0.44,0.11
109,2.46,1.01,0.44,0.11
110,2.46,2.28,0.44,0.11
111,2.51,1.2,0.44,0.11
112,2.5,1.09,0.44,0.11
113,2.5,1.09,0.44,0.11
114,2.48,0.92,0.44,0.11
115,2.5,0.98,0.44,0.11
116,2.5,1.2,0.44,0.11
117,2.48,1.01,0.44,0.11
118,2.47,1.05,0.44,0.11
119,2.48,1.0,0.44,0.11
120,2.47,1.03,0.44,0.11
121,2.46,1.05,0.44,0.11
122,2.46,1.04,0.44,0.12
123,2.46,1.03,0.44,0.11
124,2.41,1.02,0.44,0.11
125,2.37,0.98,0.43,0.11
126,2.05,1.07,0.44,0.11
127,2.44,1.07,0.43,0.11
128,1.53,0.89,0.19,0.06
129,706.94,60.56,307.57,44.05
130,3.43,78.45,0.45,0.12
131,135.4,1483.02,0.44,0.11
132,1858.59,13432.33,0.4,0.1
133,3686.92,25627.78,0.51,0.13
134,297.3,6247.66,0.42,0.11
135,17322.24,4723.76,84.98,12.32
136,14.12,364.29,0.42,0.11
137,339.0,2345.83,0.41,0.11
138,22.66,734.62,0.43,0.11
139,63.74,5540.49,0.43,0.11
140,50.08,980.87,0.43,0.11
141,62.09,4717.45,0.43,0.11
142,29.18,823.98,0.44,0.11
143,19.72,3407.37,0.43,0.11
144,180.82,4126.43,0.44,0.11
145,25.86,863.56,0.43,0.11
146,50.51,1299.88,0.43,0.11
147,6.74,554.65,0.44,0.11
148,61.09,27909.08,0.43,0.11
149,6.96,11091.36,0.44,0.11
150,159.39,3018.28,0.43,0.11
151,7.95,5957.84,0.43,0.11
152,42.67,666.76,0.44,0.11
153,72.09,4668.83,0.44,0.11
154,27.94,299.13,0.43,0.11
155,6.84,2918.87,0.43,0.11
156,11.86,19.17,0.43,0.11
157,6.09,13.77,0.43,0.11
158,5.56,6.96,0.43,0.11
159,5.94,2.49,0.43,0.11
160,6.18,3.12,0.43,0.11
161,7.07,2.96,0.43,0.11
162,8.42,3.5,0.43,0.11
163,2.48,1.01,0.43,0.11
164,2.87,1.69,0.43,0.11
165,10.53,2.8,0.43,0.11
166,2.47,3.81,0.43,0.11
167,2.4,1.17,0.43,0.11
168,3.9,2.78,0.43,0.11
169,14.32,6.3,0.43,0.11
170,3.91,5.13,0.43,0.11
171,8.02,9.78,0.43,0.11
172,3.58,2144.55,0.43,0.11
173,42.7,1993.33,0.43,0.11
174,2.95,359.31,0.43,0.11
175,5.65,439.92,0.43,0.11
176,3.65,89.14,0.43,0.11
177,2.87,282.84,0.43,0.11
178,2.73,0.9,0.43,0.11
179,2.73,11.42,0.43,0.11
180,2.47,1.02,0.43,0.11
181,2.46,1.03,0.43,0.11
182,2.48,1.46,0.43,0.11
183,2.51,0.89,0.43,0.11
184,2.62,1.13,0.43,0.11
185,2.47,1.07,0.43,0.11
186,2.51,1.05,0.43,0.11
187,2.46,1.05,0.43,0.11
188,2.45,1.04,0.43,0.11
189,2.5,1.35,0.43,0.11
190,2.47,1.01,0.43,0.11
191,2.48,1.53,0.43,0.11
192,2.53,1.04,0.43,0.11
193,2.46,0.98,0.43,0.11
194,2.53,0.99,0.43,0.11
195,2.51,1.06,0.43,0.11
196,2.46,1.02,0.43,0.11
197,2.89,1.28,0.43,0.11
198,2.44,1.13,0.43,0.11
199,2.59,1.23,0.43,0.11
200,2.64,1.19,0.43,0.11
201,3.54,0.94,0.43,0.11
202,2.83,1.23,0.43,0.11
203,2.65,1.29,0.43,0.11
204,3.29,0.94,0.43,0.11
205,2.7,1.02,0.43,0.11
206,2.43,1.17,0.43,0.11
207,3.01,1.19,0.43,0.11
208,2.86,1.39,0.43,0.11
209,3.39,0.94,0.43,0.11
210,2.51,1.39,0.44,0.11
211,5.5,2.37,0.44,0.11
212,2.86,1.21,0.43,0.11
213,3.18,1.38,0.43,0.11
214,3.56,2.17,0.43,0.11
215,6.29,2.3,0.43,0.11
216,2.59,0.97,0.43,0.11
217,2.46,1.19,0.43,0.11
218,4.48,2.72,0.43,0.11
219,6.03,1.68,0.43,0.11
220,2.83,355.56,0.43,0.11
221,22.86,3896.22,0.44,0.11
222,599.27,3844.26,0.41,0.11
223,107.36,3018.24,0.43,0.11
224,23.31,11611.85,0.44,0.11
225,11624.16,6193.98,0.23,0.06
226,9.98,447.06,0.43,0.11
227,35.43,1434.64,0.43,0.11
228,2.46,30.49,0.43,0.11
229,3.71,108.54,0.43,0.11
230,8.49,50.65,0.47,0.13
231,2.47,6.67,0.43,0.11
232,2.48,0.96,0.43,0.11
233,2.5,1.01,0.43,0.11
234,2.49,1.04,0.43,0.11
235,2.45,24.47,0.43,0.11
236,2.46,1.03,0.43,0.11
237,2.45,1.03,0.43,0.11
238,2.46,1.06,0.43,0.11
239,2.43,1.02,0.43,0.11
240,2.43,1.02,0.43,0.11
241,2.47,1.08,0.44,0.11
242,2.45,1.0,0.44,0.11
243,2.42,0.98,0.43,0.11
244,2.32,1.0,0.43,0.11
245,2.51,0.94,0.43,0.11
246,2.29,1.34,0.44,0.11
247,2.56,1.02,0.44,0.11
248,2.52,1.08,0.44,0.11
249,2.45,1.06,0.43,0.11
250,2.41,1.01,0.43,0.11
251,2.25,1.04,0.42,0.11
252,2.33,0.92,0.39,0.1
253,2.49,0.94,0.43,0.11
254,2.38,0.92,0.43,0.11
255,2.36,0.99,0.43,0.11
256,2.19,1.21,0.42,0.11
257,1.95,0.8,0.37,0.11
258,2.17,0.93,0.45,0.11
259,1.64,0.87,0.45,0.12
260,2.07,0.81,0.43,0.11
261,49.16,0.84,6.87,1.73
262,2.5,3.09,0.43,0.11
263,4.26,42.49,0.43,0.11
264,114.33,145.54,0.59,0.19
265,7.36,2710.99,0.44,0.11
266,11.26,961.24,0.43,0.11
267,25205.27,6081.31,1.96,0.6
268,75.05,1231.5,0.43,0.11
269,155.92,33465.51,0.43,0.11
270,7.66,258.79,0.45,0.12
271,2.69,238.72,0.43,0.11
272,4.64,58.29,0.39,0.1
273,22.26,276.38,0.42,0.11
274,5.81,55.45,0.44,0.11
275,3.82,20.39,0.44,0.11
276,3.26,51.89,0.44,0.11
277,2.59,5.24,0.43,0.11
278,2.56,1.72,0.43,0.11
279,2.52,10.99,0.43,0.11
280,2.48,1.11,0.43,0.11
281,2.46,0.9,0.43,0.11
282,2.46,1.08,0.43,0.11
283,2.46,0.95,0.43,0.11
284,2.46,4.77,0.43,0.11
285,2.67,39.67,0.43,0.11
286,3.43,69.93,0.43,0.11
287,3.22,70.19,0.43,0.11
288,3.13,10.58,0.43,0.11
289,2.6,55.33,0.43,0.11
290,4.03,21.79,0.44,0.11
291,4.4,153.89,0.43,0.11
292,3.26,2.76,0.44,0.11
293,3.27,61.04,0.43,0.11
294,2.48,1.37,0.43,0.11
295,2.46,1.35,0.43,0.11
296,2.45,0.93,0.43,0.11
297,2.44,0.96,0.43,0.11
298,2.42,0.92,0.43,0.11
299,2.37,0.93,0.43,0.11
300,2.23,0.82,0.43,0.11
301,2.14,0.95,0.43,0.11
302,2.13,0.91,0.43,0.11
303,1.89,0.81,0.42,0.11
304,1.83,0.73,0.43,0.11
305,2.19,1.2,0.41,0.11
306,1.4,0.68,0.42,0.11
307,0.92,0.29,0.36,0.11
308,1.1,0.5,0.34,0.1
309,3.11,1.37,0.21,0.1
310,5.27,1.43,0.45,0.11
311,1.8,0.73,0.44,0.11
312,1.59,0.67,0.44,0.11
313,1.63,0.59,0.44,0.11
314,1.3,0.76,0.43,0.11
315,0.91,0.72,0.42,0.11
316,0.8,0.48,0.41,0.11
317,0.76,0.59,0.34,0.1
318,0.56,0.59,0.27,0.1
319,0.58,1.35,0.29,0.1
320,0.72,0.43,0.35,0.12
321,0.59,0.44,0.3,0.11
322,0.52,0.35,0.24,0.11
323,0.56,0.33,0.27,0.11
324,0.52,0.21,0.22,0.11
325,0.58,0.34,0.29,0.11
326,0.46,0.34,0.16,0.1
327,0.46,0.17,0.17,0.1
328,0.56,0.32,0.26,0.1
329,0.45,0.17,0.16,0.11
330,0.57,0.32,0.28,0.11
331,0.43,0.17,0.15,0.1
332,0.64,0.2,0.34,0.12
333,0.7,0.27,0.39,0.11
334,0.66,0.19,0.34,0.11
335,1.77,0.69,0.3,0.12
336,6.83,0.74,0.32,0.1
337,3.78,16.1,0.42,0.11
338,3.24,132.17,0.44,0.11
339,30.0,70.52,0.44,0.11
340,14.56,933.45,0.43,0.11
341,1333.62,1066.75,0.89,0.2
342,3.04,98.86,0.43,0.11
343,2.6,126.84,0.43,0.11
344,2.53,0.74,0.43,0.11
345,2.52,1.05,0.43,0.11
346,2.49,3.38,0.43,0.11
347,2.48,0.95,0.43,0.11
348,2.48,0.89,0.43,0.11
349,2.47,0.79,0.43,0.11
350,2.49,0.97,0.43,0.11
351,2.47,0.88,0.43,0.11
352,2.45,3.76,0.43,0.11
353,2.45,0.9,0.43,0.11
354,2.44,0.87,0.43,0.11
355,2.48,0.87,0.44,0.11
356,2.34,0.99,0.44,0.11
357,2.22,1.08,0.44,0.11
358,2.01,1.01,0.45,0.12
359,2.07,0.88,0.43,0.11
360,6.66,1.76,0.85,0.2
361,2.37,0.82,0.43,0.11
362,2.29,4.45,0.43,0.11
363,2.05,0.84,0.43,0.11
364,1.64,0.74,0.44,0.11
365,1.19,0.57,0.42,0.11
366,0.78,0.65,0.32,0.1
367,6.4,3.08,0.56,0.19
368,2.57,0.85,0.48,0.12
369,1.96,0.77,0.44,0.11
370,1.8,0.69,0.46,0.12
371,1.78,0.36,0.45,0.11
372,1.75,0.59,0.46,0.12
373,1.72,0.57,0.44,0.11
374,1.54,0.45,0.45,0.11
375,1.84,0.94,0.36,0.1
376,1.81,0.96,0.48,0.11
377,1.2,0.74,0.44,0.11
378,0.82,0.81,0.47,0.11
379,0.61,0.41,0.4,0.09
380,0.41,0.42,0.24,0.06
381,0.75,0.35,0.54,0.11
382,0.83,0.33,0.42,0.1
383,0.63,0.32,0.4,0.1
384,0.6,0.26,0.34,0.08
385,0.51,0.18,0.26,0.07
386,0.37,0.29,0.15,0.04
387,0.34,0.24,0.14,0.03
388,0.6,0.5,0.34,0.08
389,0.39,0.45,0.16,0.05
390,0.51,0.17,0.28,0.05
391,0.66,0.37,0.34,0.09
392,0.5,0.3,0.25,0.07
393,0.42,1.19,0.16,0.05
394,6.32,18.66,0.14,0.03
395,2.47,5.48,0.44,0.11
396,15.9,917.81,0.43,0.11
397,2.22,11.43,0.46,0.12
398,54.83,327.58,0.47,0.12
399,3.55,7.51,0.43,0.11
400,2.48,241.6,0.44,0.11
401,2.77,26.22,0.44,0.11
402,2.85,34.59,0.43,0.11
403,2.47,0.9,0.43,0.11
404,2.46,1.06,0.43,0.11
405,2.44,0.91,0.43,0.11
406,2.42,0.92,0.43,0.11
407,2.42,0.8,0.44,0.11
408,2.39,0.6,0.43,0.11
409,2.19,0.88,0.44,0.11
410,2.33,0.94,0.44,0.11
411,2.48,1.68,0.43,0.11
412,2.38,0.86,0.43,0.11
413,2.14,0.79,0.43,0.11
414,2.19,0.76,0.44,0.11
415,1.93,0.61,0.42,0.11
416,1.88,0.74,0.43,0.11
417,1.48,0.6,0.41,0.11
418,0.86,0.56,0.39,0.1
419,5.59,2.93,0.2,0.08
420,2.45,0.79,0.44,0.11
421,2.32,1.15,0.44,0.11
422,2.23,0.79,0.43,0.11
423,2.24,0.84,0.44,0.11
424,1.85,0.59,0.45,0.11
425,1.21,0.64,0.48,0.12
426,1.61,0.66,0.56,0.15
427,2.4,1.21,0.47,0.12
428,2.22,0.78,0.43,0.11
429,2.29,0.96,0.43,0.11
430,1.83,0.76,0.42,0.11
431,1.76,0.79,0.44,0.11
432,1.27,0.54,0.42,0.11
433,1.14,0.88,0.44,0.11
434,2.52,0.31,0.33,0.09
435,33.17,15.45,0.25,0.1
436,2.24,6.21,0.43,0.11
437,2.89,25.89,0.43,0.11
438,7.5,176.63,0.43,0.11
439,1.23,23.49,0.47,0.12
440,620.67,1534.84,0.51,0.13
441,8.16,371.82,0.43,0.11
442,2.71,0.75,0.43,0.11
443,2.62,0.91,0.44,0.11
444,2.51,0.89,0.43,0.11
445,2.4,0.96,0.44,0.11
446,2.24,0.8,0.43,0.11
447,1.94,0.85,0.44,0.11
448,1.62,0.8,0.44,0.11
449,1.27,0.7,0.43,0.11
450,0.96,0.53,0.42,0.11
451,0.48,0.59,0.29,0.07
452,1.07,0.19,0.82,0.16
453,0.88,0.33,0.4,0.11
454,0.93,0.41,0.38,0.1
455,0.7,0.56,0.33,0.09
456,0.48,0.34,0.25,0.05
457,0.42,2.84,0.19,0.05
458,14.52,13.75,0.32,0.08
459,5.79,121.83,0.45,0.12
460,2.48,13.35,0.44,0.11
461,2.66,2.62,0.44,0.11
462,2.45,0.79,0.44,0.11
463,2.31,0.64,0.44,0.11
464,2.47,0.91,0.43,0.11
465,1.8,0.45,0.43,0.11
466,3.91,1.5,0.41,0.1
467,1.8,0.81,0.43,0.11
468,1.64,0.61,0.43,0.11
469,2.48,0.67,0.44,0.11
470,2.52,0.73,0.44,0.11
471,2.44,0.83,0.44,0.11
472,2.43,0.76,0.44,0.11
473,2.2,0.85,0.44,0.11
474,1.13,0.76,0.43,0.11
475,1.19,0.54,0.43,0.11
476,0.68,0.72,0.41,0.1
477,0.66,0.41,0.41,0.1
478,0.6,0.53,0.38,0.09
479,0.47,0.43,0.28,0.07
480,0.65,0.27,0.47,0.08
481,0.63,0.3,0.39,0.1
482,0.59,0.38,0.36,0.09
483,0.53,0.48,0.32,0.08
484,0.43,0.39,0.24,0.06
485,0.49,0.2,0.23,0.05
486,0.68,0.29,0.38,0.09
487,0.74,0.36,0.41,0.11
488,0.59,0.41,0.36,0.1
489,0.47,0.25,0.26,0.08
490,0.5,0.23,0.3,0.07
491,0.62,0.17,0.36,0.1
492,0.48,0.17,0.28,0.08
493,0.34,0.36,0.18,0.04
494,0.3,0.18,0.15,0.04
495,0.31,0.21,0.17,0.04
496,0.56,0.23,0.34,0.09
497,0.45,0.18,0.26,0.07
498,0.27,0.31,0.15,0.04
499,0.34,0.18,0.21,0.04
500,0.79,0.25,0.38,0.1
501,0.6,0.17,0.37,0.11
502,0.47,0.15,0.25,0.08
503,0.4,0.59,0.22,0.04
504,3.86,1.28,0.36,0.1
505,2.01,0.92,0.45,0.11
506,55.84,146.43,0.51,0.13
507,9.51,94.59,0.43,0.11
508,8.6,745.02,0.44,0.11
509,32.74,1182.63,0.43,0.11
510,3.97,149.3,0.43,0.11
511,2.47,81.72,0.44,0.11
512,2.59,0.75,0.44,0.11
513,2.48,3.63,0.44,0.11
514,2.44,0.62,0.44,0.11
515,2.46,0.83,0.44,0.11
516,2.37,0.83,0.44,0.11
517,2.29,1.22,0.44,0.11
518,2.44,3.81,0.43,0.11
519,2.35,0.47,0.43,0.11
520,2.37,0.73,0.43,0.11
521,2.57,1.02,0.44,0.11
522,2.4,0.96,0.44,0.11
523,2.31,0.95,0.44,0.11
524,2.26,0.85,0.44,0.11
525,2.04,0.72,0.44,0.11
526,2.37,0.68,0.44,0.11
527,1.74,0.72,0.44,0.11
528,1.38,0.58,0.45,0.12
529,4.19,1.18,0.46,0.12
530,2.32,0.92,0.43,0.11
531,2.2,2.37,0.44,0.11
532,1.95,0.71,0.45,0.11
533,2.69,0.78,0.43,0.11
534,1.77,0.54,0.43,0.11
535,1.2,0.5,0.45,0.11
536,1.0,0.38,0.47,0.12
537,13.59,4.36,0.51,0.12
538,2.22,0.85,0.43,0.11
539,2.19,0.85,0.43,0.11
540,2.47,0.94,0.41,0.11
541,1.65,0.61,0.43,0.11
542,2.4,0.61,0.42,0.11
543,1.96,0.87,0.42,0.11
544,0.87,0.72,0.41,0.1
545,0.59,0.39,0.4,0.09
546,0.56,0.55,0.38,0.09
547,0.52,0.5,0.36,0.08
548,0.46,0.2,0.31,0.07
549,0.37,0.42,0.24,0.04
550,0.42,0.23,0.22,0.04
551,1.24,1.64,0.41,0.11
552,26.45,9.78,0.22,0.07
553,38.13,75.44,0.34,0.08
554,2.91,94.32,0.44,0.11
555,2.47,406.7,0.44,0.11
556,2.54,163.81,0.44,0.11
557,3.45,254.07,0.44,0.11
558,5.36,111.29,0.43,0.11
559,2.46,9.81,0.43,0.11
560,2.47,0.55,0.43,0.11
561,2.46,1.02,0.43,0.11
562,2.46,0.95,0.43,0.11
563,2.46,0.94,0.43,0.11
564,2.47,1.63,0.43,0.11
565,2.48,4.45,0.43,0.11
566,2.39,0.91,0.43,0.11
567,2.33,0.93,0.43,0.11
568,1.76,0.75,0.41,0.11
569,0.83,0.38,0.36,0.1
570,0.59,0.24,0.33,0.07
571,0.83,0.42,0.41,0.11
572,0.49,0.52,0.26,0.06
573,2.32,1.49,1.88,0.28
574,2.24,0.74,0.43,0.11
575,2.23,0.75,0.43,0.11
576,1.88,0.82,0.42,0.11
577,1.12,0.49,0.41,0.11
578,0.65,0.48,0.37,0.09
579,0.59,0.43,0.33,0.08
580,0.47,0.32,0.24,0.06
581,0.73,0.14,0.47,0.08
582,0.71,0.35,0.39,0.1
583,0.61,0.65,0.34,0.08
584,0.55,0.24,0.28,0.07
585,0.42,0.24,0.2,0.04
586,0.81,0.47,0.53,0.1
587,0.8,0.27,0.4,0.1
588,0.62,0.16,0.33,0.08
