epoch,G,D,cycle,id
0,2.05,1.91,0.08,0.11
1,2.03,2.09,0.08,0.1
2,2.13,2.17,0.07,0.09
3,2.05,1.64,0.08,0.11
4,2.01,1.52,0.08,0.1
5,1.93,1.39,0.09,0.11
6,1.73,1.24,0.07,0.09
7,1.18,1.01,0.18,0.2
8,0.55,1.21,0.1,0.1
9,0.42,0.87,0.15,0.15
10,0.42,0.92,0.08,0.09
11,0.46,0.79,0.16,0.17
12,0.33,0.38,0.08,0.09
13,0.29,0.45,0.08,0.08
14,0.26,0.46,0.06,0.06
15,0.24,0.43,0.05,0.05
16,0.22,0.31,0.05,0.05
17,0.29,0.2,0.07,0.07
18,0.25,0.47,0.07,0.06
19,0.23,0.24,0.04,0.04
20,0.35,0.4,0.11,0.13
21,0.35,0.31,0.08,0.1
22,0.32,0.28,0.08,0.1
23,0.28,0.39,0.07,0.08
24,0.25,0.21,0.05,0.06
25,0.17,0.46,0.03,0.03
26,0.23,0.19,0.05,0.05
27,0.19,0.24,0.04,0.04
28,0.28,0.28,0.06,0.08
29,0.22,0.17,0.05,0.06
30,0.19,0.18,0.05,0.04
31,0.29,0.19,0.06,0.08
32,0.25,0.17,0.05,0.06
33,0.17,0.18,0.03,0.02
34,0.22,0.32,0.04,0.04
35,0.24,0.18,0.05,0.06
36,0.33,0.18,0.08,0.1
37,0.29,0.17,0.07,0.08
38,0.22,0.18,0.05,0.06
39,0.19,0.26,0.04,0.04
40,0.25,0.26,0.06,0.06
41,0.22,0.16,0.05,0.05
42,0.28,0.18,0.06,0.08
43,0.24,0.29,0.06,0.07
44,0.16,0.2,0.03,0.03
45,0.15,0.19,0.03,0.03
46,0.2,0.18,0.03,0.04
47,0.34,0.16,0.09,0.1
48,0.33,0.18,0.08,0.1
49,0.28,0.17,0.07,0.09
50,0.25,0.17,0.06,0.07
51,0.22,0.16,0.04,0.05
52,0.17,0.17,0.03,0.03
53,0.24,0.17,0.04,0.05
54,0.19,0.17,0.03,0.03
55,0.29,0.17,0.07,0.09
56,0.25,0.17,0.05,0.07
57,0.19,0.16,0.03,0.04
58,0.35,0.16,0.08,0.1
59,0.33,0.17,0.09,0.11
60,0.27,0.16,0.07,0.08
61,0.27,0.17,0.06,0.07
62,0.23,0.17,0.05,0.06
63,0.21,0.17,0.04,0.05
64,0.18,0.16,0.03,0.03
65,0.33,0.16,0.07,0.09
66,0.29,0.17,0.07,0.09
67,0.28,0.19,0.06,0.08
68,0.25,0.17,0.05,0.06
69,0.16,0.19,0.03,0.04
70,0.23,0.16,0.05,0.06
71,0.31,0.17,0.06,0.07
72,0.29,0.17,0.05,0.06
73,0.26,0.17,0.04,0.04
74,0.22,0.17,0.02,0.02
75,0.27,0.17,0.04,0.05
76,0.23,0.17,0.02,0.03
77,0.24,0.17,0.03,0.03
78,0.3,0.17,0.05,0.07
79,0.26,0.17,0.04,0.05
80,0.22,0.17,0.02,0.02
