epoch,G,D,cycle,id
0,1.88,0.35,0.43,1.15
1,370.68,5.89,146.86,212.52
2,3.2,17.52,0.42,1.12
3,2.21,5.2,0.44,1.18
4,5.53,156.47,0.43,1.16
5,8.95,61.31,0.47,1.26
6,1.89,6.81,0.43,1.16
7,28.64,92.78,0.21,0.5
8,2.25,11.93,0.45,1.21
9,2.65,15.64,0.45,1.2
10,1.9,0.37,0.43,1.16
11,2.07,1.62,0.41,1.08
12,1.93,0.23,0.44,1.17
13,1.93,0.3,0.43,1.16
14,2.29,6.49,0.42,1.14
15,2.62,28.39,0.44,1.18
16,1.87,0.26,0.42,1.12
17,1.87,0.26,0.42,1.12
18,1.86,0.24,0.42,1.12
19,1.92,0.69,0.43,1.15
20,1.86,0.94,0.42,1.11
21,2.42,1.73,0.4,1.06
22,1.9,0.21,0.42,1.13
23,1.9,0.21,0.42,1.13
24,1.9,0.24,0.42,1.13
25,1.89,0.2,0.42,1.12
26,1.9,0.22,0.42,1.13
27,1.89,0.21,0.42,1.12
28,1.87,0.21,0.42,1.11
29,1.87,12.54,0.4,1.06
30,4.63,16.31,0.39,0.97
31,2.89,15.17,0.45,1.21
32,2.07,2.76,0.42,1.13
33,2.17,159.38,0.44,1.18
34,2.57,3.54,0.39,1.04
35,3.23,10.45,0.41,1.1
36,3.85,35.09,0.45,1.2
37,1.85,21.53,0.41,1.11
38,2.09,4.79,0.41,1.11
39,3.9,22.28,0.42,1.12
40,1.9,0.54,0.42,1.12
41,2.07,3.72,0.42,1.12
42,1.89,0.34,0.42,1.12
43,1.89,0.26,0.42,1.12
44,1.87,0.25,0.41,1.1
45,1.85,0.26,0.41,1.09
46,1.78,0.26,0.39,1.04
47,3.66,0.28,0.96,2.2
48,1.92,0.28,0.42,1.14
49,1.9,0.26,0.42,1.13
50,1.9,0.27,0.42,1.13
51,1.91,0.34,0.42,1.13
52,1.9,0.44,0.42,1.13
53,1.89,0.31,0.42,1.12
54,1.89,0.27,0.42,1.12
55,1.89,0.24,0.42,1.12
56,1.85,0.23,0.42,1.12
57,1.88,0.21,0.41,1.11
58,1.87,0.21,0.41,1.11
59,1.85,0.21,0.41,1.1
60,1.8,0.21,0.39,1.06
61,1.17,0.3,0.23,0.49
62,1.19,0.31,0.24,0.67
63,27176.86,11.34,11584.58,15569.94
64,15.14,149.17,0.45,1.22
65,3.57,898.0,0.43,1.17
66,22.14,283.21,0.42,1.13
67,1832.09,1070.65,0.87,3.23
68,7.08,162.18,0.42,1.13
69,26.43,571.23,0.43,1.15
70,2.1,62.5,0.44,1.17
71,1.94,293.89,0.43,1.14
72,2.87,149.84,0.44,1.17
73,22.99,318.01,0.42,1.13
74,2.17,14.42,0.44,1.18
75,2.09,118.2,0.43,1.17
76,2.31,12.88,0.44,1.18
77,2.92,69.36,0.43,1.16
78,2.76,32.35,0.44,1.19
79,1.96,26.49,0.44,1.17
80,1.96,5.01,0.43,1.16
81,2.02,17.45,0.44,1.17
82,1.96,5.43,0.43,1.16
83,1.96,13.13,0.43,1.17
84,1.96,4.73,0.44,1.17
85,1.95,9.63,0.43,1.17
86,1.96,4.55,0.43,1.17
87,1.95,9.97,0.43,1.17
88,1.95,8.52,0.43,1.17
89,1.96,1.59,0.43,1.16
90,1.98,8.78,0.43,1.16
91,1.97,7.36,0.43,1.17
92,1.95,0.33,0.43,1.16
93,2.02,6.63,0.43,1.16
94,1.99,0.73,0.43,1.16
