epoch,G,D,cycle,id
0,3.3,1.93,0.39,1.05
1,3.22,2.31,0.34,0.87
2,3.07,1.85,0.36,0.8
3,3.61,1.76,0.34,1.19
4,3.2,1.61,0.37,0.97
5,3.11,1.48,0.35,0.92
6,2.98,1.4,0.33,0.84
7,2.7,1.29,0.28,0.68
8,1.92,1.13,0.18,0.35
9,3.61,1.44,0.56,1.24
10,3.31,1.67,0.41,1.05
11,3.17,1.38,0.4,0.98
12,2.95,1.22,0.39,0.89
13,2.53,1.08,0.33,0.75
14,1.72,0.9,0.36,0.57
15,2.42,0.52,0.53,1.5
16,2.47,0.85,0.38,0.93
17,1.58,0.76,0.35,0.8
18,1.19,0.56,0.36,0.66
19,0.9,0.36,0.27,0.45
20,0.83,0.28,0.25,0.43
21,1.31,0.62,0.34,0.74
22,1.15,0.34,0.25,0.51
23,4.77,1.22,0.41,0.64
24,1.71,0.46,0.33,0.82
25,1.11,0.47,0.29,0.65
26,0.96,0.29,0.25,0.52
27,0.83,0.67,0.24,0.42
28,0.84,0.46,0.24,0.43
29,1.44,0.31,0.36,0.9
30,1.56,0.24,0.36,0.89
31,1.26,0.14,0.32,0.76
32,1.06,0.15,0.27,0.61
33,0.81,0.14,0.22,0.41
34,0.82,0.14,0.22,0.43
35,1.2,0.15,0.3,0.71
36,0.9,0.14,0.23,0.51
37,0.67,0.13,0.18,0.32
38,0.66,0.17,0.22,0.3
39,1.13,0.26,0.29,0.7
40,1.4,0.21,0.36,0.86
41,1.16,0.21,0.3,0.71
42,0.89,0.15,0.23,0.52
43,0.63,0.14,0.17,0.3
44,0.61,0.27,0.24,0.29
45,0.69,0.29,0.17,0.35
46,1.11,0.18,0.27,0.71
47,1.47,0.19,0.39,0.91
48,1.14,0.16,0.3,0.71
49,0.9,0.16,0.25,0.51
50,0.58,0.16,0.16,0.27
51,0.63,0.18,0.18,0.36
52,1.03,0.2,0.24,0.62
53,1.3,0.19,0.35,0.85
54,1.05,0.18,0.29,0.66
55,0.76,0.15,0.2,0.43
56,0.66,0.18,0.16,0.36
57,1.15,0.21,0.32,0.72
58,0.76,0.17,0.19,0.43
59,0.65,0.16,0.15,0.34
60,1.12,0.17,0.3,0.68
61,0.82,0.16,0.23,0.46
62,0.62,0.16,0.14,0.3
63,0.98,0.16,0.25,0.61
64,0.7,0.17,0.16,0.36
65,0.58,0.16,0.13,0.31
66,1.12,0.16,0.28,0.68
67,0.76,0.16,0.18,0.44
68,0.59,0.17,0.14,0.28
69,0.91,0.34,0.26,0.48
70,2.04,0.98,0.17,0.34
71,3.15,1.26,0.48,1.14
72,1.53,0.17,0.4,0.95
73,1.4,0.17,0.35,0.87
74,1.29,0.16,0.32,0.8
75,1.17,0.23,0.28,0.72
76,1.07,0.14,0.25,0.65
77,0.93,0.15,0.22,0.56
78,0.8,0.16,0.17,0.44
79,0.74,0.15,0.2,0.38
80,2.86,0.16,0.57,2.11
81,1.5,0.15,0.36,0.94
82,1.4,0.14,0.34,0.88
83,1.31,0.14,0.33,0.81
84,1.2,0.13,0.3,0.73
85,1.06,0.15,0.27,0.62
86,0.89,0.14,0.22,0.49
87,0.7,0.13,0.17,0.35
88,0.6,0.13,0.15,0.3
89,0.83,0.15,0.19,0.45
90,0.64,0.18,0.17,0.38
91,1.12,0.14,0.29,0.63
92,0.73,0.17,0.21,0.39
93,0.9,0.13,0.21,0.51
94,1.09,0.15,0.27,0.67
95,0.86,0.13,0.2,0.48
96,0.64,0.13,0.16,0.32
97,0.63,0.14,0.18,0.28
98,0.92,0.15,0.22,0.61
99,1.18,0.16,0.29,0.71
100,0.91,0.13,0.22,0.52
101,0.58,0.13,0.13,0.27
