epoch,G,D,cycle,id
0,1.2,1.04,0.09,0.12
1,39.67,23.15,0.2,0.34
2,10.2,57.28,0.08,0.1
3,124.95,126.36,0.16,0.19
4,33.66,1461.7,0.08,0.11
5,87.98,334.02,0.07,0.1
6,14.33,65.75,0.08,0.1
7,11.68,385.75,0.08,0.11
8,26.7,27.96,0.13,0.18
9,1.23,4.43,0.08,0.11
10,1.18,4.23,0.08,0.11
11,1.18,0.93,0.08,0.11
12,1.17,1.46,0.08,0.11
13,1.18,1.44,0.08,0.11
14,1.17,1.35,0.08,0.11
15,1.17,0.64,0.08,0.11
16,1.15,0.79,0.08,0.11
17,1.08,2.0,0.07,0.1
18,32.41,11.68,0.48,0.59
19,1.83,23.78,0.08,0.11
20,1.15,10.19,0.08,0.11
21,71.39,258.92,0.09,0.13
22,1.47,2.45,0.08,0.1
23,7.03,47.5,0.08,0.11
24,1.34,21.82,0.09,0.12
25,1.36,6.93,0.08,0.11
26,1.24,21.37,0.08,0.11
27,1.18,0.55,0.08,0.11
28,1.17,0.54,0.08,0.11
29,1.17,0.58,0.08,0.11
30,1.19,0.55,0.09,0.12
31,1.19,0.56,0.08,0.11
32,1.18,0.61,0.08,0.11
33,1.18,0.58,0.08,0.11
34,1.2,0.59,0.08,0.11
35,1.19,0.58,0.08,0.11
36,1.18,0.58,0.08,0.11
37,1.2,0.58,0.08,0.11
38,1.18,0.61,0.08,0.11
39,1.16,0.57,0.08,0.11
40,1.22,0.62,0.07,0.1
41,1.19,0.59,0.07,0.1
42,1.2,0.5,0.08,0.11
43,1.11,0.54,0.07,0.1
44,1.11,0.59,0.06,0.09
45,1.19,0.57,0.08,0.11
46,1.12,0.47,0.09,0.13
47,6.21,0.74,0.18,0.2
48,2.6,0.84,0.05,0.07
49,1.24,0.66,0.08,0.11
50,1.22,0.53,0.08,0.11
51,1.22,0.55,0.08,0.11
52,1.22,0.5,0.08,0.11
53,1.19,0.7,0.08,0.1
54,1.17,0.59,0.07,0.09
55,1.14,0.52,0.06,0.09
56,1.3,0.49,0.09,0.12
57,1.26,0.58,0.07,0.1
58,1.22,0.52,0.07,0.1
59,1.22,0.56,0.08,0.11
60,1.24,0.63,0.08,0.1
61,1.13,0.69,0.07,0.1
62,1.9,1.23,0.11,0.14
63,1.22,0.62,0.08,0.1
64,1.2,0.57,0.08,0.1
65,1.26,0.61,0.07,0.09
66,1.17,0.54,0.07,0.1
67,1.23,0.58,0.06,0.08
68,1.23,0.62,0.08,0.11
69,1.17,0.53,0.07,0.09
70,0.97,0.58,0.05,0.07
71,1.26,1.23,0.08,0.11
72,1.25,3.06,0.09,0.12
73,3.55,37.87,0.09,0.11
74,372.88,180.38,0.08,0.11
75,14.3,620.32,0.08,0.11
76,2932659.0,1109334.12,70.98,49.48
77,99.15,11085.83,0.08,0.11
78,35.89,596.87,0.08,0.11
79,1.04,492.12,0.08,0.11
80,22.12,421.9,0.08,0.11
81,2.93,341.19,0.08,0.11
82,9.99,246.11,0.08,0.11
83,2.03,169.3,0.08,0.11
84,2.47,85.59,0.08,0.11
85,1.66,298.21,0.08,0.11
86,13.78,794.27,0.08,0.11
87,67.08,706.13,0.09,0.12
88,10.13,603.55,0.08,0.11
89,12.16,524.96,0.08,0.11
90,10.73,508.8,0.08,0.11
91,25.97,374.18,0.09,0.12
92,9.79,4627.7,0.08,0.11
93,2.0,255.28,0.08,0.11
94,2.96,222.35,0.08,0.11
95,1.79,178.56,0.08,0.11
96,2.49,146.31,0.08,0.11
97,1.24,106.17,0.08,0.11
98,1.41,70.66,0.08,0.11
99,1.62,34.29,0.08,0.11
100,2.49,7.45,0.08,0.11
101,1.45,27.98,0.08,0.11
102,2.33,13.06,0.08,0.11
103,1.31,23.56,0.08,0.11
104,2.03,17.66,0.08,0.11
105,1.25,19.35,0.08,0.11
106,1.79,23.69,0.08,0.11
107,1.25,15.35,0.08,0.11
108,1.52,28.15,0.08,0.11
109,1.26,10.19,0.08,0.11
110,1.4,34.62,0.08,0.11
111,1.27,4.6,0.08,0.11
112,1.27,41.34,0.08,0.11
113,1.15,0.57,0.08,0.11
114,1.16,0.52,0.09,0.12
115,1.32,6.02,0.08,0.11
116,1.33,50.29,0.08,0.11
117,1.34,0.61,0.08,0.11
118,1.31,0.57,0.08,0.11
119,1.29,0.67,0.08,0.11
120,1.26,0.54,0.08,0.11
121,1.26,0.57,0.08,0.11
122,1.25,0.63,0.08,0.11
123,1.24,0.56,0.08,0.11
124,1.23,0.55,0.08,0.11
125,1.24,0.56,0.08,0.11
126,1.24,0.69,0.08,0.11
127,1.24,0.98,0.08,0.11
128,1.57,36.97,0.08,0.11
129,1.89,64.1,0.08,0.11
130,1.34,21.34,0.08,0.11
131,1.64,62.65,0.08,0.11
132,1.3,9.46,0.08,0.11
133,2.54,62.27,0.08,0.11
134,1.3,0.82,0.08,0.11
135,1.27,18.24,0.08,0.11
136,1.84,38.68,0.08,0.11
137,1.24,25.09,0.08,0.11
138,1.27,20.05,0.08,0.11
139,1.24,25.11,0.08,0.11
140,1.24,13.15,0.08,0.11
141,1.26,24.82,0.08,0.11
142,1.31,8.29,0.08,0.11
143,1.37,16.74,0.08,0.11
144,2.89,33.15,0.08,0.11
145,1.52,2.49,0.08,0.11
146,2.59,73.28,0.08,0.11
147,3.22,1.55,0.08,0.11
148,1.48,0.78,0.08,0.11
149,3.62,1.71,0.09,0.12
150,1.48,2.71,0.08,0.11
151,7.38,198.33,0.08,0.11
152,3.2,200.51,0.08,0.11
153,2.09,2.96,0.08,0.11
154,2.96,437.31,0.08,0.11
155,3.91,108.87,0.09,0.12
156,12.09,375.38,0.08,0.11
157,5.85,147.19,0.08,0.11
158,7.02,169.17,0.08,0.11
159,8.46,195.16,0.08,0.11
160,5.04,201.67,0.08,0.11
161,1.22,64.68,0.08,0.11
162,2.67,218.46,0.08,0.11
163,13.12,68.31,0.1,0.12
164,7.0,183.17,0.08,0.11
165,1.18,38.15,0.08,0.11
166,1.25,94.15,0.08,0.11
167,1.32,2.31,0.08,0.11
168,1.46,56.54,0.08,0.11
169,1.26,23.29,0.08,0.11
170,1.25,47.65,0.08,0.11
171,1.29,17.03,0.08,0.11
172,1.54,101.23,0.08,0.11
173,1.24,10.47,0.08,0.11
174,1.53,56.24,0.08,0.11
175,1.3,105.12,0.08,0.11
176,1.26,6.93,0.08,0.11
177,1.54,141.68,0.08,0.11
178,1.24,29.52,0.08,0.11
179,2.67,231.75,0.08,0.11
180,2.62,31.43,0.08,0.11
181,830.22,709.25,0.18,0.23
182,1.28,1.85,0.08,0.11
183,5.17,479.52,0.08,0.11
184,2.91,35.34,0.08,0.11
185,5.24,233.13,0.08,0.11
186,1.63,26.7,0.08,0.11
187,1.48,11.97,0.08,0.11
188,1.51,5.1,0.08,0.11
189,1.28,2.9,0.08,0.11
190,1.25,0.56,0.08,0.11
191,1.23,0.6,0.08,0.11
192,1.22,0.43,0.08,0.11
193,1.17,0.52,0.08,0.11
194,1.03,0.54,0.08,0.11
195,1.25,0.53,0.08,0.11
196,0.99,0.57,0.08,0.11
197,2.68,1.52,0.06,0.08
198,1.28,0.62,0.08,0.11
199,1.26,0.56,0.08,0.11
200,1.22,0.73,0.08,0.11
201,1.4,0.56,0.08,0.11
202,1.21,0.56,0.08,0.11
203,1.09,0.54,0.08,0.11
204,1.93,1.04,0.09,0.12
205,1.3,0.53,0.08,0.11
206,1.23,0.69,0.08,0.11
207,1.18,0.61,0.08,0.11
208,1.12,0.59,0.08,0.11
209,1.14,0.63,0.08,0.11
210,1.41,0.59,0.08,0.11
211,1.1,0.59,0.08,0.11
212,1.02,0.51,0.08,0.11
213,1.12,0.5,0.08,0.1
214,0.94,0.48,0.08,0.1
215,0.59,0.46,0.07,0.09
216,0.3,0.33,0.06,0.08
217,0.71,0.4,0.07,0.1
218,0.33,0.24,0.04,0.06
219,1.15,0.54,0.15,0.19
220,3.12,17.1,0.08,0.11
221,17.61,612.27,0.09,0.11
222,11.13,227.64,0.08,0.11
223,184.77,2801.04,0.08,0.11
224,19.85,1303.71,0.08,0.11
225,277.4,2849.01,0.08,0.11
226,73.32,2886.18,0.09,0.11
227,46.17,381.13,0.08,0.1
228,30.52,1036.15,0.08,0.11
229,3.93,38.26,0.08,0.11
230,0.88,3.58,0.08,0.11
231,2.39,1.1,0.08,0.11
232,2.46,0.85,0.08,0.11
233,1.46,0.72,0.08,0.11
234,1.48,0.91,0.08,0.11
235,1.95,0.86,0.08,0.11
236,2.07,0.92,0.08,0.11
237,1.46,1.51,0.08,0.11
238,1.39,1.02,0.08,0.11
239,1.63,0.66,0.08,0.11
240,1.25,0.57,0.08,0.11
241,1.2,0.85,0.08,0.11
242,2.14,0.94,0.08,0.11
243,1.23,1.07,0.08,0.11
244,1.33,0.75,0.08,0.11
245,1.23,0.83,0.08,0.11
246,1.22,0.63,0.08,0.11
247,1.28,1.71,0.08,0.11
248,1.3,0.97,0.08,0.11
249,1.21,0.57,0.08,0.11
250,1.49,0.59,0.08,0.11
251,1.29,0.7,0.08,0.11
252,1.25,0.66,0.08,0.11
253,1.26,0.78,0.08,0.11
254,1.27,0.54,0.08,0.11
255,1.26,0.69,0.08,0.11
256,1.34,0.69,0.08,0.11
257,1.32,0.61,0.08,0.11
258,1.44,0.75,0.08,0.11
259,1.24,0.65,0.08,0.11
260,1.23,0.63,0.08,0.11
261,1.45,0.93,0.08,0.11
262,1.42,0.74,0.08,0.11
263,1.24,0.8,0.08,0.11
264,1.34,0.65,0.08,0.11
265,1.25,0.54,0.08,0.11
266,1.26,0.65,0.08,0.11
267,1.23,0.67,0.08,0.11
268,1.4,0.62,0.08,0.11
269,1.64,0.76,0.08,0.11
270,1.33,0.69,0.08,0.11
271,1.38,0.65,0.08,0.11
