epoch,G,D,cycle,id
0,2.54,1.9,0.54,0.14
1,2.45,1.64,0.47,0.12
2,2.44,2.88,0.45,0.12
3,2.44,1.53,0.47,0.12
4,2.36,1.44,0.41,0.11
5,2.12,1.35,0.26,0.07
6,2.89,1.38,0.79,0.24
7,2.33,1.35,0.44,0.11
8,2.24,1.26,0.42,0.1
9,1.9,1.22,0.42,0.1
10,1.48,1.02,0.32,0.07
11,0.91,0.53,0.49,0.15
12,1.18,0.82,0.4,0.09
13,0.63,0.7,0.4,0.08
14,0.57,0.49,0.23,0.06
15,0.71,0.56,0.25,0.06
16,0.56,0.46,0.24,0.07
17,0.48,0.28,0.31,0.06
18,0.41,0.45,0.22,0.06
19,0.63,0.68,0.36,0.09
20,0.37,0.3,0.21,0.05
21,0.4,0.19,0.2,0.06
22,0.66,0.21,0.4,0.1
23,0.44,0.29,0.19,0.05
24,0.38,0.17,0.21,0.07
25,0.73,0.23,0.36,0.09
26,0.41,0.27,0.22,0.05
27,0.38,0.17,0.2,0.06
28,0.53,0.3,0.34,0.09
29,0.36,0.17,0.22,0.06
30,0.33,0.18,0.19,0.06
31,0.52,0.18,0.33,0.08
32,0.41,0.18,0.24,0.06
33,0.25,0.31,0.13,0.04
34,0.3,0.2,0.16,0.06
35,0.47,0.27,0.29,0.08
36,0.33,0.18,0.17,0.05
37,0.38,0.17,0.19,0.06
38,0.58,0.21,0.38,0.1
39,0.49,0.3,0.28,0.07
40,1.19,3.28,0.16,0.05
41,3.55,4.89,1.62,0.39
42,1.96,0.3,0.94,0.18
43,1.16,0.28,0.75,0.16
44,1.08,0.18,0.7,0.15
45,1.02,0.18,0.65,0.14
46,0.96,0.18,0.62,0.13
47,0.91,0.17,0.58,0.13
48,0.86,0.17,0.55,0.12
49,0.81,0.17,0.52,0.11
50,0.76,0.16,0.49,0.1
51,0.69,0.17,0.44,0.09
52,0.57,0.16,0.36,0.07
53,0.51,0.2,0.3,0.1
54,0.52,0.18,0.31,0.07
55,0.36,0.17,0.21,0.05
56,0.37,0.16,0.2,0.05
57,0.62,0.16,0.38,0.13
58,0.67,0.28,0.39,0.1
59,0.58,0.16,0.36,0.09
60,0.48,0.16,0.28,0.07
61,0.37,0.16,0.19,0.04
62,0.39,0.16,0.18,0.06
63,0.5,0.17,0.3,0.07
64,0.36,0.17,0.19,0.04
65,0.42,0.15,0.2,0.07
66,0.56,0.16,0.33,0.08
67,0.45,0.16,0.26,0.06
68,0.29,0.17,0.15,0.04
69,0.44,0.16,0.2,0.07
70,0.56,0.16,0.34,0.08
71,0.45,0.16,0.25,0.06
72,0.36,0.16,0.16,0.04
73,0.32,0.15,0.15,0.05
