epoch,G,D,cycle,id
0,1.81,0.35,0.65,0.86
1,127358.07,790.68,75213.06,50565.5
2,5.04,9.69,0.75,0.99
3,2.62,2.11,0.76,1.02
4,3.19,6.7,0.78,1.04
5,2.77,3.7,0.8,1.07
6,2.49,2.74,0.91,1.22
7,2.74,4.15,0.81,1.08
8,2.35,36.47,0.86,1.15
9,16.82,222.76,0.84,1.12
10,20.37,37.46,1.09,1.46
11,2.62,57.32,0.89,1.18
12,2.47,9.66,0.84,1.12
13,4.38,64.38,0.87,1.15
14,14.89,7.77,2.78,3.81
15,3.34,77.41,0.87,1.16
16,5.18,1.98,1.06,1.39
17,3.37,43.89,0.89,1.19
18,8.09,42.39,0.84,1.11
19,2.71,13.09,0.89,1.18
20,2.41,4.57,0.87,1.16
21,2.41,24.12,0.88,1.17
22,2.44,9.96,0.86,1.15
23,2.31,8.66,0.87,1.16
24,2.46,10.53,0.88,1.17
25,2.39,3.59,0.86,1.15
26,2.33,1477.79,0.86,1.15
27,9.06,494.4,0.87,1.16
28,30.41,102.83,0.99,1.32
29,30.48,251.4,0.93,1.24
30,2.81,64.97,0.87,1.16
31,35.44,143.19,0.96,1.33
32,4.71,87.87,0.86,1.15
33,4.33,69.56,0.89,1.19
34,2.39,72.7,0.87,1.16
35,2.45,29.89,0.87,1.17
36,3.85,75.51,0.88,1.17
37,2.78,17.23,0.86,1.15
38,3.15,55.06,0.86,1.15
39,2.48,3.46,0.88,1.17
40,4.15,77.87,0.88,1.17
41,2.6,17.51,0.86,1.14
42,2.76,8.15,0.86,1.15
43,2.46,17.51,0.86,1.15
44,2.49,1.75,0.87,1.16
45,2.42,15.36,0.87,1.16
46,2.39,0.38,0.86,1.15
47,2.37,0.26,0.86,1.15
48,2.36,0.24,0.86,1.15
49,2.36,0.25,0.86,1.15
50,2.34,0.25,0.85,1.14
51,2.29,0.26,0.83,1.1
52,2.43,0.28,0.87,1.16
53,2.35,0.25,0.85,1.14
54,2.82,0.9,0.78,1.04
55,2.73,17.62,0.86,1.15
56,2.41,3.36,0.88,1.17
57,2.85,21.93,0.87,1.16
58,2.78,4.22,0.86,1.14
59,4.51,29.92,0.86,1.14
60,2.4,10.51,0.86,1.15
61,2.37,68.78,0.86,1.15
62,2.76,11.64,0.86,1.15
63,6.11,69.82,0.87,1.16
64,5.46,32.11,0.91,1.21
65,3.71,40.95,0.88,1.17
66,3.83,23.94,0.85,1.13
67,2.69,4.59,0.86,1.15
68,2.36,25.43,0.86,1.15
69,2.41,3.52,0.88,1.17
70,2.41,21.5,0.88,1.17
71,2.4,0.65,0.87,1.16
72,2.97,19.14,0.86,1.15
73,2.45,10.34,0.87,1.16
74,2.5,13.5,0.86,1.15
75,2.89,30.0,0.87,1.16
76,2.51,16.71,0.88,1.17
77,6.67,84.5,0.9,1.2
78,3.16,15.45,0.85,1.13
79,2.39,10.35,0.85,1.14
80,3.17,12.9,0.86,1.14
81,2.52,0.37,0.86,1.15
82,2.48,11.85,0.86,1.15
83,2.41,0.6,0.87,1.16
84,2.57,3.53,0.86,1.15
85,2.44,1.19,0.87,1.16
86,2.42,13.43,0.86,1.15
87,2.75,4.86,0.87,1.17
88,2.9,17.71,0.87,1.16
89,2.8,1785.55,0.88,1.17
90,6.76,122.54,0.88,1.18
91,173.7,1603.19,0.83,1.11
92,37.94,114.81,1.01,1.44
93,2.4,327.07,0.87,1.16
94,3.22,14.18,0.89,1.19
95,7.27,224.79,0.89,1.18
