epoch,G,D,cycle,id
0,3.34,1.91,0.1,1.39
1,3.14,2.31,0.09,1.21
2,3.08,1.82,0.08,1.13
3,2.82,1.6,0.07,0.93
4,3.83,1.45,0.14,1.97
5,3.07,1.56,0.08,1.14
6,2.92,1.41,0.08,1.05
7,2.83,1.3,0.08,0.97
8,2.52,1.2,0.07,0.82
9,2.21,1.21,0.06,0.52
10,1.82,1.02,0.08,0.46
11,2.62,0.57,0.14,1.99
12,2.59,0.83,0.09,1.12
13,1.38,0.91,0.11,0.93
14,1.71,1.06,0.14,0.74
15,14.87,1.53,0.14,1.98
16,3.26,0.99,0.08,1.19
17,3.03,0.97,0.08,1.13
18,2.91,1.02,0.08,1.11
19,2.76,0.73,0.08,1.09
20,2.53,0.83,0.08,1.05
21,2.11,0.53,0.08,0.99
22,1.61,0.76,0.08,0.9
23,1.16,0.61,0.08,0.76
24,0.85,0.29,0.08,0.58
25,0.78,0.47,0.07,0.54
26,1.08,0.36,0.08,0.74
27,0.74,0.49,0.07,0.49
28,0.76,0.48,0.07,0.54
29,1.0,0.55,0.08,0.72
30,0.73,0.57,0.07,0.49
31,0.63,0.16,0.07,0.42
32,0.88,0.22,0.08,0.64
33,0.6,0.16,0.07,0.38
34,0.71,0.38,0.07,0.5
35,1.09,0.25,0.09,0.83
36,0.74,0.25,0.08,0.53
37,0.51,0.25,0.07,0.33
38,0.53,0.18,0.08,0.36
39,0.9,0.16,0.08,0.72
40,1.09,0.31,0.1,0.89
41,0.88,0.16,0.08,0.7
42,0.63,0.18,0.07,0.45
43,0.59,0.18,0.07,0.43
44,0.99,0.23,0.1,0.81
45,0.71,0.2,0.07,0.53
46,0.53,0.21,0.05,0.35
47,0.86,0.31,0.09,0.65
48,0.5,0.17,0.05,0.3
49,0.54,0.17,0.05,0.37
50,0.97,0.16,0.08,0.75
51,0.64,0.16,0.06,0.47
52,0.76,0.16,0.05,0.58
53,1.16,0.17,0.08,0.91
54,1.01,0.23,0.07,0.78
55,0.73,0.16,0.06,0.56
56,0.51,0.15,0.04,0.31
57,0.76,0.16,0.06,0.59
58,0.48,0.16,0.04,0.29
59,0.43,0.15,0.04,0.27
60,0.48,0.17,0.04,0.34
61,1.14,0.17,0.07,0.9
62,1.33,0.19,0.11,1.11
63,1.14,0.19,0.07,0.87
64,0.83,0.18,0.07,0.66
65,0.5,0.16,0.04,0.34
66,0.72,0.16,0.05,0.56
67,1.09,0.15,0.07,0.9
68,0.92,0.18,0.06,0.74
69,0.6,0.16,0.04,0.45
70,0.72,0.16,0.04,0.52
71,1.14,0.18,0.1,0.95
72,0.95,0.17,0.07,0.76
73,0.67,0.16,0.06,0.48
74,0.6,0.18,0.04,0.47
75,1.05,0.17,0.07,0.82
76,0.78,0.16,0.05,0.61
77,0.55,0.16,0.03,0.34
78,0.43,0.19,0.03,0.31
79,0.74,0.16,0.05,0.55
80,0.56,0.15,0.03,0.36
81,0.86,0.19,0.07,0.7
82,0.46,0.15,0.04,0.29
83,1.06,0.17,0.06,0.82
84,1.17,0.17,0.07,0.91
85,1.02,0.17,0.07,0.78
86,0.74,0.17,0.04,0.5
87,0.62,0.17,0.04,0.4
88,1.03,0.17,0.07,0.77
89,0.73,0.17,0.06,0.49
90,0.63,0.17,0.04,0.41
91,0.93,0.17,0.06,0.7
92,0.65,0.17,0.04,0.43
93,0.58,0.17,0.04,0.36
94,1.03,0.17,0.07,0.78
95,0.78,0.17,0.06,0.54
96,0.48,0.17,0.04,0.26
97,0.55,0.17,0.03,0.34
98,0.87,0.17,0.05,0.63
99,0.54,0.17,0.03,0.33
100,0.56,0.17,0.03,0.35
101,0.98,0.17,0.06,0.73
102,0.67,0.17,0.04,0.45
103,0.51,0.17,0.03,0.3
104,0.81,0.17,0.07,0.56
105,0.55,0.17,0.04,0.33
106,0.67,0.17,0.04,0.45
107,0.61,0.17,0.03,0.4
108,1.07,0.17,0.07,0.81
109,0.82,0.17,0.07,0.58
110,0.57,0.17,0.04,0.35
111,0.57,0.17,0.05,0.33
112,0.83,0.17,0.07,0.59
113,0.51,0.17,0.04,0.29
114,0.54,0.17,0.03,0.33
115,0.84,0.17,0.05,0.61
116,0.55,0.17,0.03,0.34
117,0.48,0.17,0.03,0.28
118,0.49,0.17,0.03,0.28
119,0.53,0.17,0.03,0.32
120,0.82,0.17,0.05,0.58
121,0.54,0.17,0.04,0.32
122,0.61,0.17,0.06,0.37
123,0.64,0.17,0.03,0.43
124,1.06,0.17,0.07,0.8
125,0.82,0.17,0.06,0.58
126,0.55,0.17,0.04,0.34
127,0.49,0.17,0.04,0.28
128,0.68,0.17,0.05,0.45
129,0.63,0.17,0.05,0.4
130,1.05,0.17,0.08,0.79
131,0.75,0.17,0.08,0.5
132,0.62,0.17,0.07,0.37
133,0.85,0.17,0.08,0.59
134,0.99,0.17,0.08,0.73
135,0.77,0.17,0.08,0.52
136,0.61,0.17,0.07,0.36
137,0.46,0.17,0.03,0.25
138,0.53,0.17,0.03,0.32
139,0.76,0.17,0.05,0.53
140,0.5,0.17,0.03,0.29
141,0.49,0.17,0.03,0.29
142,0.77,0.17,0.06,0.53
143,0.5,0.17,0.03,0.28
144,0.48,0.17,0.03,0.27
145,0.68,0.17,0.06,0.45
146,0.47,0.17,0.03,0.26
147,0.58,0.17,0.05,0.35
148,0.89,0.17,0.08,0.63
149,0.69,0.17,0.08,0.43
150,0.54,0.17,0.04,0.33
151,0.55,0.17,0.03,0.34
152,0.86,0.17,0.07,0.61
153,0.61,0.17,0.05,0.38
154,0.48,0.17,0.04,0.27
155,0.48,0.17,0.03,0.27
156,0.75,0.17,0.06,0.51
157,0.5,0.17,0.04,0.28
158,0.61,0.17,0.05,0.38
159,0.91,0.17,0.08,0.65
160,0.68,0.17,0.08,0.42
161,0.57,0.17,0.03,0.36
162,0.46,0.17,0.03,0.25
163,0.72,0.17,0.06,0.48
164,0.49,0.17,0.04,0.28
165,0.54,0.17,0.05,0.31
166,0.76,0.17,0.09,0.49
167,0.63,0.17,0.07,0.38
168,0.58,0.17,0.08,0.33
169,0.85,0.17,0.07,0.61
170,0.57,0.17,0.05,0.34
171,0.43,0.17,0.02,0.23
172,0.48,0.17,0.03,0.27
173,0.65,0.17,0.05,0.42
174,0.8,0.17,0.07,0.56
175,0.59,0.17,0.05,0.36
176,0.5,0.17,0.04,0.29
177,0.43,0.17,0.03,0.22
178,0.5,0.17,0.04,0.28
179,0.79,0.17,0.07,0.54
180,0.57,0.17,0.06,0.33
181,0.47,0.17,0.05,0.24
182,0.57,0.17,0.05,0.34
183,0.62,0.17,0.04,0.4
184,0.79,0.17,0.06,0.55
185,0.56,0.17,0.05,0.34
186,0.46,0.17,0.03,0.25
187,0.47,0.17,0.03,0.26
188,0.57,0.17,0.07,0.32
189,0.84,0.17,0.08,0.58
190,0.6,0.17,0.07,0.35
191,0.44,0.17,0.03,0.24
192,0.61,0.17,0.04,0.4
193,0.79,0.17,0.06,0.55
194,0.58,0.17,0.05,0.35
195,0.46,0.17,0.03,0.25
196,0.51,0.17,0.04,0.28
197,0.7,0.17,0.06,0.46
198,0.5,0.17,0.04,0.28
199,0.47,0.17,0.04,0.26
200,0.56,0.17,0.06,0.33
201,0.48,0.17,0.02,0.27
202,0.7,0.17,0.06,0.47
203,0.49,0.17,0.03,0.28
204,0.47,0.17,0.05,0.25
205,0.68,0.17,0.08,0.42
206,0.53,0.17,0.05,0.3
207,0.42,0.17,0.02,0.22
208,0.49,0.17,0.04,0.28
209,0.55,0.17,0.05,0.32
210,0.76,0.17,0.07,0.51
211,0.59,0.17,0.05,0.36
212,0.55,0.17,0.08,0.29
213,0.59,0.17,0.05,0.36
214,0.52,0.17,0.02,0.32
215,0.71,0.17,0.06,0.48
216,0.51,0.17,0.04,0.3
217,0.43,0.17,0.04,0.21
218,0.45,0.17,0.03,0.24
219,0.7,0.17,0.06,0.47
220,0.8,0.17,0.07,0.55
221,0.62,0.17,0.07,0.38
222,0.5,0.17,0.04,0.28
223,0.42,0.2,0.03,0.31
224,0.62,0.2,0.06,0.48
225,0.42,0.2,0.04,0.3
226,0.31,0.2,0.03,0.2
227,0.31,0.2,0.02,0.21
228,0.4,0.2,0.03,0.28
229,0.38,0.2,0.02,0.27
230,0.57,0.2,0.07,0.42
231,0.46,0.17,0.04,0.29
232,0.62,1.88,0.09,0.35
233,0.67,0.14,0.07,0.45
234,0.44,0.16,0.05,0.26
235,0.55,0.18,0.05,0.38
236,0.72,0.16,0.07,0.5
237,0.5,0.18,0.05,0.33
238,0.36,0.18,0.03,0.22
239,0.46,0.19,0.04,0.32
240,0.59,0.17,0.06,0.4
241,0.45,0.18,0.04,0.27
242,0.46,0.17,0.04,0.25
243,0.55,0.17,0.06,0.32
244,0.42,0.17,0.03,0.21
245,0.58,0.17,0.04,0.36
246,0.41,0.17,0.02,0.22
247,0.46,0.17,0.03,0.25
248,0.59,0.17,0.04,0.38
249,0.67,0.17,0.07,0.43
250,0.55,0.17,0.05,0.32
251,0.48,0.17,0.05,0.25
252,0.42,0.17,0.02,0.22
253,0.56,0.17,0.05,0.33
254,0.75,0.17,0.07,0.51
255,0.53,0.17,0.05,0.3
256,0.45,0.17,0.05,0.23
257,0.46,0.17,0.03,0.25
258,0.7,0.17,0.05,0.47
259,0.68,0.17,0.06,0.44
260,0.53,0.17,0.04,0.3
261,0.49,0.17,0.07,0.25
262,0.48,0.17,0.03,0.27
263,0.6,0.17,0.05,0.38
264,0.65,0.17,0.06,0.42
265,0.47,0.17,0.04,0.25
266,0.45,0.17,0.05,0.22
267,0.57,0.17,0.05,0.34
268,0.39,0.17,0.02,0.19
269,0.47,0.17,0.04,0.25
270,0.63,0.17,0.06,0.39
271,0.47,0.17,0.04,0.26
272,0.55,0.17,0.08,0.29
273,0.66,0.17,0.06,0.42
274,0.49,0.17,0.04,0.26
275,0.47,0.17,0.04,0.26
276,0.62,0.17,0.05,0.39
277,0.48,0.17,0.03,0.27
278,0.47,0.17,0.07,0.23
279,0.6,0.17,0.05,0.37
280,0.43,0.17,0.03,0.22
281,0.5,0.17,0.05,0.27
282,0.63,0.17,0.06,0.39
283,0.5,0.17,0.03,0.29
284,0.41,0.17,0.02,0.2
285,0.41,0.17,0.03,0.21
286,0.55,0.17,0.05,0.33
287,0.43,0.17,0.02,0.23
288,0.4,0.17,0.02,0.2
289,0.47,0.17,0.03,0.27
290,0.47,0.17,0.02,0.27
291,0.65,0.17,0.06,0.41
292,0.5,0.17,0.04,0.28
293,0.49,0.17,0.08,0.24
294,0.66,0.17,0.06,0.42
295,0.48,0.17,0.05,0.25
296,0.6,0.17,0.05,0.37
297,0.69,0.17,0.06,0.46
298,0.51,0.17,0.04,0.3
299,0.4,0.17,0.02,0.2
300,0.43,0.18,0.03,0.25
301,0.4,0.16,0.02,0.21
302,0.36,0.16,0.02,0.17
303,0.36,0.17,0.02,0.17
304,0.37,0.17,0.02,0.18
305,0.38,0.17,0.02,0.18
306,0.42,0.17,0.03,0.22
307,0.36,0.17,0.02,0.16
308,0.36,0.17,0.02,0.16
309,0.36,0.17,0.02,0.17
310,0.39,0.17,0.03,0.18
311,0.44,0.17,0.03,0.23
312,0.36,0.17,0.02,0.16
313,0.37,0.17,0.02,0.18
314,0.42,0.17,0.02,0.22
315,0.36,0.17,0.02,0.17
316,0.38,0.17,0.02,0.18
317,0.42,0.17,0.02,0.21
318,0.47,0.16,0.04,0.26
319,0.28,0.2,0.02,0.17
320,0.34,0.18,0.02,0.17
321,0.43,0.17,0.02,0.23
322,0.37,0.17,0.02,0.18
323,0.42,0.17,0.03,0.22
324,0.36,0.17,0.02,0.16
325,0.41,0.17,0.02,0.21
326,0.37,0.17,0.02,0.17
327,0.43,0.17,0.03,0.22
328,0.36,0.17,0.02,0.16
329,0.36,0.17,0.02,0.16
330,0.39,0.17,0.03,0.19
331,0.46,0.17,0.04,0.25
332,0.37,0.17,0.02,0.18
333,0.37,0.17,0.01,0.18
334,0.42,0.17,0.02,0.22
335,0.36,0.17,0.02,0.17
336,0.44,0.17,0.03,0.23
337,0.35,0.17,0.02,0.15
338,0.35,0.17,0.02,0.16
339,0.41,0.17,0.02,0.21
340,0.46,0.17,0.03,0.25
341,0.36,0.17,0.02,0.17
342,0.37,0.17,0.02,0.17
343,0.4,0.17,0.02,0.2
344,0.37,0.17,0.02,0.17
345,0.45,0.17,0.04,0.24
346,0.37,0.17,0.02,0.17
347,0.36,0.17,0.02,0.17
348,0.42,0.17,0.02,0.22
349,0.5,0.17,0.04,0.28
350,0.38,0.17,0.02,0.18
351,0.38,0.16,0.03,0.18
352,0.33,0.2,0.03,0.22
353,0.25,0.19,0.02,0.15
354,0.33,0.18,0.02,0.16
355,0.37,0.17,0.02,0.17
356,0.38,0.17,0.02,0.19
357,0.44,0.17,0.03,0.23
358,0.35,0.17,0.02,0.15
359,0.34,0.17,0.02,0.15
360,0.36,0.17,0.01,0.17
361,0.43,0.17,0.03,0.22
362,0.33,0.17,0.02,0.15
363,0.39,0.17,0.02,0.18
364,0.48,0.17,0.04,0.26
365,0.48,0.17,0.04,0.27
366,0.37,0.17,0.02,0.17
367,0.37,0.17,0.02,0.17
368,0.42,0.17,0.03,0.21
369,0.34,0.17,0.02,0.15
370,0.34,0.17,0.02,0.15
371,0.36,0.17,0.02,0.16
372,0.41,0.17,0.03,0.2
373,0.36,0.17,0.02,0.16
374,0.43,0.17,0.03,0.22
375,0.34,0.17,0.01,0.15
376,0.34,0.17,0.01,0.15
377,0.38,0.17,0.02,0.18
378,0.37,0.17,0.01,0.18
379,0.45,0.17,0.03,0.24
380,0.35,0.17,0.02,0.15
381,0.35,0.16,0.01,0.16
382,0.36,0.18,0.02,0.19
383,0.35,0.16,0.01,0.17
384,0.43,0.16,0.03,0.24
385,0.37,0.17,0.02,0.17
386,0.36,0.16,0.02,0.17
387,0.39,0.17,0.02,0.22
388,0.45,0.16,0.04,0.26
389,0.37,0.16,0.02,0.17
390,0.37,0.17,0.03,0.18
391,0.43,0.17,0.03,0.22
392,0.34,0.16,0.01,0.15
393,0.33,0.16,0.01,0.15
394,0.37,0.16,0.02,0.19
395,0.33,0.16,0.01,0.15
396,0.38,0.17,0.02,0.19
397,0.37,0.17,0.02,0.17
398,0.41,0.16,0.03,0.21
399,0.33,0.16,0.02,0.16
400,0.35,0.17,0.03,0.21
401,0.39,0.16,0.02,0.19
402,0.36,0.16,0.02,0.18
403,0.39,0.16,0.02,0.2
404,0.41,0.19,0.03,0.24
405,0.36,0.17,0.02,0.16
406,0.37,0.16,0.02,0.18
407,0.42,0.17,0.03,0.23
408,0.35,0.17,0.02,0.16
409,0.35,0.16,0.01,0.16
410,0.37,0.17,0.02,0.19
411,0.35,0.17,0.01,0.16
412,0.39,0.16,0.02,0.19
413,0.33,0.16,0.02,0.16
414,0.4,0.19,0.03,0.24
415,0.37,0.16,0.02,0.18
416,0.33,0.16,0.01,0.15
417,0.33,0.17,0.02,0.16
418,0.33,0.15,0.02,0.19
419,0.42,0.19,0.03,0.26
420,0.28,0.19,0.02,0.16
421,0.36,0.17,0.02,0.17
422,0.42,0.17,0.03,0.23
423,0.35,0.17,0.02,0.17
424,0.34,0.17,0.02,0.17
425,0.38,0.16,0.02,0.2
426,0.47,0.18,0.04,0.28
427,0.37,0.17,0.02,0.17
428,0.35,0.18,0.02,0.18
429,0.42,0.17,0.03,0.21
430,0.33,0.17,0.01,0.14
431,0.34,0.17,0.01,0.15
432,0.38,0.16,0.02,0.19
433,0.4,0.18,0.03,0.23
434,0.28,0.17,0.01,0.15
435,0.34,0.16,0.01,0.16
436,0.36,0.18,0.02,0.19
437,0.34,0.16,0.01,0.16
438,0.41,0.16,0.03,0.22
439,0.35,0.16,0.02,0.15
440,0.33,0.16,0.02,0.15
441,0.37,0.16,0.02,0.17
442,0.44,0.16,0.03,0.24
443,0.31,0.17,0.02,0.14
444,0.35,0.16,0.02,0.17
445,0.45,0.17,0.03,0.25
446,0.37,0.17,0.02,0.17
447,0.37,0.17,0.01,0.18
448,0.42,0.17,0.03,0.21
449,0.34,0.17,0.01,0.15
450,0.35,0.16,0.01,0.16
451,0.32,0.17,0.01,0.18
452,0.42,0.16,0.03,0.22
453,0.33,0.16,0.01,0.14
454,0.31,0.17,0.01,0.15
455,0.35,0.16,0.02,0.16
456,0.32,0.18,0.02,0.19
457,0.39,0.16,0.02,0.19
458,0.44,0.16,0.04,0.25
459,0.34,0.15,0.02,0.17
460,0.29,0.17,0.01,0.16
461,0.4,0.17,0.02,0.2
462,0.34,0.17,0.01,0.15
463,0.35,0.16,0.02,0.16
464,0.35,0.15,0.02,0.18
465,0.45,0.16,0.04,0.25
466,0.32,0.17,0.02,0.18
467,0.32,0.15,0.01,0.17
468,0.42,0.17,0.03,0.23
469,0.3,0.16,0.02,0.16
470,0.32,0.16,0.01,0.16
471,0.3,0.18,0.02,0.18
472,0.41,0.17,0.03,0.21
473,0.46,0.16,0.04,0.26
474,0.29,0.16,0.02,0.16
475,0.37,0.16,0.02,0.18
476,0.38,0.15,0.03,0.21
477,0.31,0.16,0.01,0.14
478,0.27,0.17,0.01,0.14
479,0.35,0.16,0.01,0.16
480,0.36,0.16,0.02,0.18
481,0.29,0.16,0.01,0.16
482,0.41,0.17,0.03,0.21
483,0.34,0.16,0.01,0.15
484,0.33,0.16,0.02,0.15
