epoch,G,D,cycle,id
0,3.2,1.9,0.57,0.77
1,2.97,2.02,0.47,0.63
2,2.81,2.0,0.41,0.54
3,2.53,1.62,0.29,0.36
4,3.65,1.42,0.8,1.19
5,2.74,1.39,0.4,0.53
6,2.64,1.48,0.37,0.48
7,2.56,1.83,0.36,0.44
8,2.57,1.38,0.4,0.44
9,2.22,1.25,0.3,0.29
10,1.7,1.06,0.23,0.22
11,1.6,0.71,0.41,0.72
12,2.3,0.85,0.39,0.59
13,1.27,0.83,0.3,0.48
14,0.98,0.53,0.4,0.44
15,1.55,0.49,0.27,0.52
16,1.46,0.8,0.3,0.42
17,1.04,0.52,0.28,0.47
18,1.45,0.87,0.38,0.71
19,1.37,0.82,0.33,0.45
20,1.08,0.71,0.44,0.55
21,0.71,0.38,0.26,0.29
22,0.51,0.35,0.18,0.24
23,0.62,0.19,0.23,0.27
24,0.57,0.32,0.19,0.26
25,0.85,0.19,0.31,0.41
26,0.67,0.3,0.25,0.29
27,0.49,0.58,0.17,0.2
28,0.43,0.21,0.14,0.18
29,0.46,0.47,0.15,0.2
30,0.69,0.17,0.25,0.31
31,0.48,0.22,0.15,0.2
32,0.6,0.17,0.19,0.28
33,0.84,0.17,0.33,0.39
34,1.03,0.33,0.38,0.51
35,0.88,0.25,0.32,0.41
36,0.71,0.17,0.27,0.32
37,0.54,0.16,0.18,0.22
38,0.48,0.16,0.14,0.22
39,0.9,0.34,0.27,0.5
40,1.01,0.17,0.37,0.51
41,0.9,0.17,0.31,0.42
42,0.78,0.17,0.27,0.4
43,0.46,0.17,0.15,0.17
44,0.66,0.16,0.22,0.3
45,0.87,0.34,0.29,0.43
46,0.68,0.19,0.23,0.32
47,0.47,0.27,0.15,0.18
48,0.44,0.17,0.15,0.19
49,0.65,0.17,0.22,0.27
50,0.55,0.16,0.14,0.24
51,0.71,0.16,0.18,0.39
52,0.46,0.16,0.14,0.19
53,0.64,0.17,0.2,0.27
54,0.59,0.16,0.17,0.25
55,0.93,0.17,0.32,0.51
56,0.84,0.17,0.25,0.43
57,0.65,0.16,0.19,0.33
58,0.49,0.15,0.14,0.22
59,0.52,0.37,0.13,0.24
60,0.88,0.17,0.22,0.48
61,0.98,0.19,0.36,0.48
62,0.84,0.16,0.26,0.38
63,0.57,0.18,0.21,0.27
64,0.59,0.15,0.15,0.26
65,0.78,0.16,0.22,0.44
66,0.64,0.16,0.15,0.32
67,0.54,0.16,0.19,0.22
68,0.79,0.17,0.26,0.37
69,0.59,0.15,0.18,0.23
70,0.46,0.14,0.12,0.19
71,0.59,0.16,0.14,0.29
72,0.65,0.15,0.23,0.28
73,1.0,0.18,0.36,0.53
74,0.75,0.15,0.24,0.35
75,0.51,0.15,0.18,0.2
76,0.47,0.16,0.12,0.17
77,0.65,0.15,0.16,0.34
78,0.44,0.17,0.11,0.15
79,0.39,0.16,0.11,0.15
80,0.6,0.17,0.18,0.25
81,0.81,0.16,0.2,0.43
82,0.98,0.17,0.3,0.53
83,0.89,0.16,0.25,0.5
84,0.68,0.17,0.16,0.42
85,0.57,0.16,0.12,0.27
86,0.47,0.15,0.13,0.18
87,0.79,0.14,0.24,0.39
88,0.59,0.13,0.17,0.25
89,0.49,0.13,0.12,0.21
90,0.6,0.18,0.13,0.29
91,0.85,0.17,0.29,0.38
92,0.98,0.17,0.33,0.47
