epoch,G,D,cycle,id
0,3.49,1.05,1.08,1.42
1,184.26,66.3,29.69,28.23
2,3.06,35.19,0.88,1.17
3,3.11,6.34,0.89,1.19
4,284.18,965.72,1.01,1.37
5,6.18,23.38,0.8,1.06
6,3.02,23.35,0.86,1.15
7,6.55,531.13,0.88,1.17
8,2.41,1152.09,0.9,1.18
9,40.2,580.54,0.92,1.22
10,22.96,657.54,0.87,1.15
11,24.72,113.5,0.95,1.27
12,4.3,54.06,0.9,1.2
13,3.07,5.76,0.89,1.18
14,3.05,3.25,0.88,1.15
15,2.93,4.77,0.89,1.19
16,2.52,6.62,0.91,0.71
17,2264.28,269.32,247.28,187.34
18,12.08,121.62,0.91,1.22
19,6.17,279.73,0.88,1.16
20,98.38,1449.8,0.91,1.21
21,3.16,7.32,0.88,1.18
22,3.05,36.95,0.86,1.15
23,3.35,58.47,0.86,1.15
24,3.33,80.35,0.88,1.17
25,4.27,20.52,0.87,1.16
26,3.29,124.77,0.88,1.17
27,3.1,0.62,0.86,1.15
28,3.2,4.02,0.86,1.15
29,3.26,20.31,0.86,1.15
30,3.13,0.67,0.88,1.17
31,3.09,0.65,0.87,1.16
32,3.08,0.56,0.87,1.16
33,3.08,0.68,0.86,1.15
34,3.06,0.6,0.87,1.15
35,3.06,0.65,0.86,1.15
36,3.06,0.61,0.86,1.15
37,3.05,0.6,0.86,1.15
38,3.05,0.59,0.86,1.15
39,3.06,0.63,0.86,1.15
40,3.04,0.6,0.86,1.14
41,3.03,0.61,0.85,1.13
42,2.99,0.6,0.83,1.1
43,2.89,0.67,0.76,1.0
44,2.51,0.86,0.64,0.83
45,399.9,107.55,14.37,13.59
46,6.41,55.1,0.85,1.14
47,3.3,154.51,0.89,1.18
48,19.38,12.69,0.69,0.69
49,3.2,11.52,0.88,1.17
50,3.13,1.59,0.89,1.19
51,3.09,0.7,0.88,1.17
52,3.05,0.54,0.86,1.14
53,2.97,0.59,0.82,1.1
54,2.62,0.82,0.61,0.8
55,4.54,0.35,2.27,2.13
56,2.97,0.65,0.83,1.1
57,2.8,0.56,0.77,1.03
58,2.57,0.63,0.66,0.87
59,2.48,0.59,0.64,0.84
60,2.98,1.21,0.48,0.52
61,4.89,1.62,0.75,0.99
62,3.08,1.93,0.86,1.14
63,3.42,16.13,0.84,1.11
