epoch,G,D,cycle,id
0,3.33,1.89,0.89,0.58
1,376.26,92.18,140.33,52.77
2,3.3,3.25,0.84,0.56
3,67.69,673.23,0.83,0.55
4,4.58,47.09,0.9,0.6
5,551.07,2016.3,0.8,0.52
6,11.35,75.25,0.91,0.61
7,8.56,287.37,0.87,0.58
8,11.41,7.23,2.43,1.25
9,3.51,41.28,0.88,0.59
10,8.92,58.72,0.85,0.57
11,4.72,41.32,0.9,0.6
12,3.33,2.22,0.88,0.59
13,3.32,2.96,0.88,0.59
14,3.33,55.72,0.88,0.58
15,3.51,8.49,0.87,0.58
16,11.05,90.95,0.91,0.61
17,3.38,6.49,0.85,0.57
18,3.32,1.04,0.86,0.58
19,3.31,1.04,0.85,0.57
20,3.3,2.02,0.85,0.57
21,6.45,25.53,0.85,0.57
22,3.81,45.46,0.88,0.59
23,3.33,1.16,0.88,0.58
24,3.32,1.11,0.87,0.58
25,3.31,1.08,0.87,0.58
26,3.3,1.07,0.86,0.57
27,3.23,1.03,0.8,0.52
28,3.3,0.99,0.85,0.56
29,3.12,0.98,0.73,0.48
30,2.05,0.88,0.42,0.41
31,4.43,1.23,0.68,0.44
32,3.34,1.03,0.88,0.58
33,3.35,1.03,0.88,0.58
34,3.35,0.93,0.88,0.58
35,3.35,0.95,0.87,0.58
36,3.34,1.02,0.87,0.58
37,3.34,1.03,0.87,0.58
38,3.32,1.01,0.87,0.58
39,3.35,1.0,0.86,0.57
40,3.32,0.9,0.85,0.56
41,3.16,1.03,0.78,0.52
42,4.31,0.78,2.11,1.13
43,3.38,0.93,0.89,0.59
44,3.37,0.96,0.88,0.59
45,3.36,2.15,0.89,0.59
46,3.36,0.99,0.87,0.58
47,3.34,1.42,0.86,0.57
48,3.34,5.15,0.88,0.6
49,3.49,1.87,0.85,0.55
50,3.38,1.44,0.88,0.59
51,3.37,2.51,0.88,0.58
52,3.36,1.52,0.88,0.58
53,3.35,1.0,0.87,0.58
54,3.36,0.95,0.87,0.58
55,3.34,0.88,0.86,0.57
56,3.33,1.01,0.86,0.57
57,3.38,2.89,0.88,0.58
58,3.34,1.0,0.86,0.58
59,3.29,0.97,0.86,0.57
60,3.36,0.99,0.86,0.59
61,3.33,1.01,0.85,0.56
62,3.32,0.98,0.86,0.58
63,3.22,0.97,0.84,0.57
64,3.15,0.92,0.82,0.54
65,3.11,0.91,0.88,0.81
66,6.77,0.49,3.77,2.87
67,3.33,0.94,0.85,0.56
68,3.34,0.91,0.85,0.56
69,3.38,1.03,0.84,0.56
70,3.33,0.83,0.84,0.56
71,3.33,1.0,0.82,0.55
72,3.13,1.0,0.75,0.57
73,1.8,0.48,0.8,0.39
74,3.33,1.03,0.85,0.57
75,3.31,0.97,0.85,0.57
76,3.38,1.17,0.84,0.56
77,3.33,0.99,0.86,0.57
78,3.31,0.98,0.84,0.56
79,3.31,1.02,0.84,0.56
80,3.29,0.94,0.84,0.56
81,3.21,0.98,0.85,0.57
82,3.23,0.76,1.19,1.04
83,3.32,11.89,0.85,0.56
84,5.61,42.31,0.84,0.56
85,105.9,2342.19,0.91,0.6
86,402.16,5602.79,0.87,0.55
87,814.97,19351.04,0.89,0.59
88,831532.37,227296.37,1839.95,627.6
89,57.65,3695.96,0.88,0.58
90,28.88,870.33,0.86,0.57
91,6.26,849.43,0.88,0.58
92,1312.67,874.61,2.17,0.98
93,7.44,7475.05,0.87,0.58
94,116.12,4857.56,0.88,0.58
95,4.31,1851.95,0.86,0.57
96,81.36,195.77,0.88,0.58
97,64.05,70.12,0.86,0.57
98,18.39,908.04,0.86,0.57
99,81.64,836.33,0.86,0.57
100,3.39,967.99,0.86,0.57
101,142.04,405.43,0.73,0.5
102,60.26,1251.35,0.89,0.59
