epoch,G,D,cycle,id
0,1.92,1.15,0.34,0.46
1,1.13,0.77,0.27,0.37
2,1.43,1.24,0.28,0.39
3,1.29,1.03,0.26,0.39
4,1.32,0.83,0.25,0.37
5,1.12,0.71,0.26,0.41
6,1.08,0.74,0.24,0.34
7,2.38,1.44,0.24,0.33
8,1.47,1.08,0.24,0.32
9,1.3,0.79,0.24,0.33
10,1.72,1.02,0.27,0.36
11,1.34,0.75,0.24,0.32
12,1.27,0.69,0.17,0.23
13,1.4,0.91,0.21,0.25
14,1.9,1.13,0.18,0.22
15,0.93,0.59,0.15,0.18
16,2.54,1.89,0.18,0.21
17,0.86,0.58,0.14,0.17
18,3.03,1.65,0.28,0.32
19,1.48,0.93,0.18,0.22
20,1.19,0.58,0.14,0.16
21,1.04,0.62,0.15,0.17
22,1.46,1.19,0.15,0.17
23,1.91,1.55,0.26,0.29
24,1.21,0.78,0.21,0.24
25,1.55,1.1,0.14,0.16
26,1.66,1.08,0.21,0.23
27,2.54,1.8,0.21,0.23
28,1.54,0.93,0.16,0.19
29,0.98,0.6,0.17,0.19
