epoch,G,D,cycle,id
0,1.36,0.66,0.24,0.56
1,1.03,0.59,0.17,0.39
2,0.94,0.63,0.15,0.33
3,0.86,0.54,0.13,0.29
4,0.85,0.59,0.12,0.26
5,0.77,0.49,0.12,0.26
6,1.08,0.7,0.13,0.27
7,0.95,0.58,0.13,0.27
8,0.89,0.62,0.1,0.23
9,0.69,0.44,0.1,0.22
10,0.65,0.4,0.09,0.21
11,0.57,0.36,0.09,0.2
12,0.58,0.4,0.09,0.19
13,0.7,0.48,0.09,0.2
14,0.53,0.3,0.09,0.19
15,0.92,0.62,0.09,0.2
16,0.59,0.37,0.09,0.19
17,0.63,0.37,0.09,0.18
18,0.62,0.37,0.09,0.18
19,1.55,0.89,0.1,0.2
20,0.56,0.32,0.09,0.18
21,1.03,0.71,0.09,0.19
22,0.66,0.41,0.08,0.18
23,0.85,0.57,0.1,0.2
24,1.83,1.4,0.24,0.41
25,0.76,0.41,0.11,0.22
26,0.65,0.34,0.1,0.19
27,0.6,0.39,0.08,0.17
28,0.59,0.41,0.08,0.16
29,2.94,1.2,0.18,0.31
