epoch,G,D,cycle,id
0,2.23,1.28,0.34,0.77
1,1.71,0.94,0.31,0.69
2,1.58,0.92,0.29,0.65
3,1.87,1.05,0.27,0.62
4,1.75,1.08,0.2,0.43
5,1.32,0.85,0.18,0.39
6,3.79,1.91,0.27,0.55
7,1.85,1.14,0.19,0.41
8,1.32,0.78,0.16,0.34
9,1.37,0.97,0.16,0.32
10,0.97,0.72,0.13,0.27
11,1.69,0.84,0.15,0.32
12,1.13,0.79,0.15,0.32
13,1.63,1.12,0.2,0.4
14,2.98,1.38,0.2,0.38
15,10.35,3.19,0.2,0.4
16,1.05,0.68,0.13,0.28
17,0.91,0.49,0.11,0.24
18,2.61,1.04,0.4,0.67
19,1.2,0.68,0.13,0.29
20,2.28,1.65,0.14,0.29
21,1.58,1.1,0.15,0.32
22,2.78,2.12,0.16,0.33
23,2.05,1.43,0.15,0.31
24,2.29,1.07,0.14,0.29
25,1.66,0.74,0.16,0.33
26,1.94,0.84,0.14,0.29
27,1.75,1.12,0.13,0.28
28,0.98,0.52,0.11,0.24
29,1.22,0.72,0.11,0.23
