epoch,G,D,cycle,id
0,1.53,0.62,0.59,0.42
1,1.14,0.59,0.39,0.28
2,1.11,0.6,0.3,0.2
3,0.83,0.52,0.25,0.16
4,0.87,0.5,0.27,0.17
5,0.77,0.47,0.23,0.14
6,0.95,0.6,0.26,0.16
7,0.99,0.6,0.23,0.14
8,1.19,0.81,0.28,0.17
9,1.24,0.67,0.29,0.17
10,1.48,0.7,0.27,0.17
11,0.63,0.34,0.21,0.12
12,0.84,0.48,0.23,0.13
13,0.87,0.51,0.23,0.13
14,0.78,0.41,0.2,0.11
15,0.88,0.53,0.22,0.13
16,0.71,0.49,0.19,0.11
17,0.69,0.37,0.18,0.1
18,0.67,0.37,0.18,0.1
19,1.33,0.94,0.18,0.1
20,0.75,0.39,0.18,0.1
21,0.61,0.31,0.17,0.1
22,0.88,0.53,0.19,0.11
23,0.84,0.43,0.18,0.1
24,0.67,0.33,0.2,0.11
25,0.56,0.31,0.18,0.1
26,0.46,0.23,0.14,0.08
27,0.76,0.44,0.17,0.1
28,1.26,0.82,0.2,0.11
29,1.25,0.94,0.18,0.1
